Concept	Dutch_Entry	German_Entry	Dutch_Tokens	German_Tokens	Dutch_Sound_Classes	German_Sound_Classes	Cognacy
I	ik	ich	ɪ k	ɪ x	V K	V K	1
account, reckoning	rekening	Rechnung	r eː k ə n ɪ ŋ	r ɛ x n ʊ ŋ	R V K V N V N	R V K N V N	1
air	lucht	Luft	l ʉ x t	l ʊ f t	R V K T	R V P T	1
animal	dier	Tier	d iː r	t iː r	T V R	T V R	1
animal	beest	Tier	b eː s t	t iː r	P V S T	T V R	0
ankle	enkel	Knöchel	ɛ ŋ k ə l	k n œ x ə l	V N K V R	K N V K V R	0
arch	boog	Bogen	b oː x	b oː ɡ ə n	P V K	P V K V N	1
arch	boog	Wölbung	b oː x	v œ l b ʊ ŋ	P V K	W V R P V N	0
armpit	oksel	Achselhöhle	ɔ k s ə l	a k s ə l + h ɶː l ə	V K S V R	V K S V R + H V R V	1
aunt	tante	Tante	t ɑ n t ə	t a n t ə	T V N T V	T V N T V	1
back	rug	rücken	r ʉ x	r ʏ k ə n	R V K	R V K V N	1
bald	kaal	kahl	k aː l	k aː l	K V R	K V R	1
bark	bast	Rinde	b ɑ s t	r ɪ n d ə	P V S T	R V N T V	0
bark	bast	Borke	b ɑ s t	b ɔ r k ə	P V S T	P V R K V	0
barley	gerst	Gerste	x ɛ r s t	ɡ ɛ r s t ə	K V R S T	K V R S T V	1
bean	boon	Bohne	b oː n	b oː n ə	P V N	P V N V	1
beard	baard	Bart	b aː r t	b aː r t	P V R T	P V R T	1
bed	bed	Bett	b ɛ t	b ɛ t	P V T	P V T	1
beech	beuk	Buche	b øː k	b uː x ə	P V K	P V K V	1
beget (of father)	verwekken	zeugen	v ə r + w ɛ k ə	ts ɔy ɡ ə n	W V R + W V K V	K V K V N	0
beggar	bedelaar	Bettler	b eː d ə l aː r	b ɛ t l ə r	P V T V R V R	P V T R V R	1
behind	plaats	Platz	p l aː ts	p l a ts	P R V K	P R V K	1
bend	buigen	beugen	b œy ɣ ə	b ɔy ɡ ə n	P V K V	P V K V N	1
beverage, drink	drank	Getränk	d r ɑ ŋ k	ɡ ə + t r ɛ ŋ k	T R V N K	K V + T R V N K	1
bird	vogel	Vogel	v oː ɣ ə l	f oː ɡ ə l	W V K V R	P V K V R	1
blanket	deken	Decke	d eː k ə	d ɛ k ə	T V K V	T V K V	1
blind	blind	blind	b l ɪ n t	b l ɪ n t	P R V N T	P R V N T	1
blink	knipperen	blinzeln	k n ɪ p ə r ə	b l ɪ n ts ə l n	K N V P V R V	P R V N K V R N	0
blister	blaar	Blase	b l aː r	b l aː z ə	P R V R	P R V S V	0
blood	bloed	Blut	b l uː t	b l uː t	P R V T	P R V T	1
blow	blazen	blasen	b l aː z ə	b l aː z ə n	P R V S V	P R V S V N	1
body	lichaam	Leib	l ɪ x aː m	l ai p	R V K V M	R V P	0
body	lichaam	Körper	l ɪ x aː m	k œ r p ə r	R V K V M	K V R P V R	0
boil (noun)	steenpuist	Furunkel	s t eː m p œy s t	f uː r ʊ ŋ k ə l	S T V M P V S T	P V R V N K V R	0
bone	bot	Knochen	b ɔ t	k n ɔ x ə n	P V T	K N V K V N	0
boot	laars	Stiefel	l aː r s	ʃ t iː f ə l	R V R S	S T V P V R	0
bore	boren	bohren	b oː r ə	b oː r ə n	P V R V	P V R V N	1
bottom	bodem	Boden	b oː d ə m	b oː d ə n	P V T V M	P V T V N	1
bowl	kom	Napf	k ɔ m	n a pf	K V M	N V P	0
bowl	kom	Schale	k ɔ m	ʃ aː l ə	K V M	S V R V	0
boy	jongen	Junge	j ɔ ŋ ə	j ʊ ŋ ə	J V N V	J V N V	1
boy	jongen	Knabe	j ɔ ŋ ə	k n aː b ə	J V N V	K N V P V	0
bracelet	armband	Armband	ɑ r m + b ɑ n t	a r m + b a n t	V R M + P V N T	V R M + P V N T	1
brain	hersenen	Gehirn	h ɛ r s ə n ə	ɡ ə + h ɪ r n	H V R S V N V	K V + H V R N	0
branch	tak	Zweig	t ɑ k	ts v ai k	T V K	K W V K	0
bread	brood	Brot	b r oː t	b r oː t	P R V T	P R V T	1
break	breken	brechen	b r eː k ə	b r ɛ x ə n	P R V K V	P R V K V N	1
breast (of woman)	borst	Brust	b ɔ r s t	b r ʊ s t	P V R S T	P R V S T	1
breathe, breath	ademen	atmen	aː d ə m ə	aː t m ə n	V T V M V	V T M V N	1
brick	baksteen	Backstein	b ɑ k + s t eː n	b a k + ʃ t ai n	P V K + S T V N	P V K + S T V N	1
bridge	brug	Brücke	b r ʉ x	b r ʏ k ə	P R V K	P R V K V	1
bring	brengen	bringen	b r ɛ ŋ ə	b r ɪ ŋ ə n	P R V N V	P R V N V N	1
broken	kapot	gebrochen	k aː p ɔ t	ɡ ə + b r ɔ x ə n	K V P V T	K V + P R V K V N	0
broken	stuk	gebrochen	s t ʉ k	ɡ ə + b r ɔ x ə n	S T V K	K V + P R V K V N	0
bruise	kneuzing	Quetschung	k n øː z ɪ ŋ	k v ɛ tʃ ʊ ŋ	K N V S V N	K W V T V N	0
brush	borstel	Bürste	b ɔ r s t ə l	b ʏ r s t ə	P V R S T V R	P V R S T V	1
build	bouwen	bauen	b ɑu w ə	b au ə n	P V W V	P V V N	1
bull	stier	stier	s t iː r	ʃ t iː r	S T V R	S T V R	1
bull	stier	Bulle	s t iː r	b ʊ l ə	S T V R	P V R V	0
bury (the dead)	begraven	begraben	b ə + ɣ r aː v ə	b ə + ɡ r aː b ə n	P V + K R V W V	P V + K R V P V N	1
bury (the dead)	begraven	beerdigen	b ə + ɣ r aː v ə	b ə + eː r d ɪ ɡ ə n	P V + K R V W V	P V + V R T V K V N	0
butter	boter	Butter	b oː t ə r	b ʊ t ə r	P V T V R	P V T V R	1
butterfly	vlinder	Schmetterling	v l ɪ n d ə r	ʃ m ɛ t ə r l ɪ ŋ	W R V N T V R	S M V T V R R V N	0
buttocks	billen	Gesäß	b ɪ l ə	ɡ ə + z ɛː s	P V R V	K V + S V S	0
button	knoop	Knopf	k n oː p	k n ɔ pf	K N V P	K N V P	1
buy	kopen	kaufen	k oː p ə	k au f ə n	K V P V	K V P V N	1
calf	kalf	Kalb	k ɑ l f	k a l p	K V R P	K V R P	1
calf of leg	kuit	Wade	k œy t	v aː d ə	K V T	W V T V	0
calm (of sea)	kalm	Meeresstille	k ɑ l m	m eː r ə s + ʃ t ɪ l ə	K V R M	M V R V S + S T V R V	0
calm (of sea)	rustig	Meeresstille	r ʉ s t ə x	m eː r ə s + ʃ t ɪ l ə	R V S T V K	M V R V S + S T V R V	0
candle	kaars	Kerze	k aː r s	k eː r ts ə	K V R S	K V R K V	1
carpenter	timmerman	Zimmermann	t ɪ m ə r + m ɑ n	ts ɪ m ə r + m a n	T V M V R + M V N	K V M V R + M V N	1
carry (bear)	dragen	tragen	d r aː ɣ ə	t r aː ɡ ə n	T R V K V	T R V K V N	1
carve	kerven	meißeln	k ɛ r v ə	m ai s ə l n	K V R W V	M V S V R N	0
cast (metals)	gieten	gießen	x iː t ə	ɡ iː s ə n	K V T V	K V S V N	1
catch (ball)	vangen	fangen	v ɑ ŋ ə	f a ŋ ə n	W V N V	P V N V N	1
cattle (bovine)	rund	Rindvieh	r ʉ n t	r ɪ n t + f iː	R V N T	R V N T + P V	1
chair	stoel	Stuhl	s t uː l	ʃ t uː l	S T V R	S T V R	1
change	veranderen	verändern	v ə r + ɑ n d ə r ə	f ɛ r + ɛ n d ə r n	W V R + V N T V R V	P V R + V N T V R N	1
cheek	wang	Wange	w ɑ ŋ	v a ŋ ə	W V N	W V N V	1
chest	borst	Brust	b ɔ r s t	b r ʊ s t	P V R S T	P R V S T	1
chew	kauwen	kauen	k ɑu w ə	k au ə n	K V W V	K V V N	1
chicken	kuiken	Huhn	k œy k ə	h uː n	K V K V	H V N	0
chicken	kuiken	Hühnchen	k œy k ə	h yː n + x ə n	K V K V	H V N + K V N	0
child	kind	Kind	k ɪ n t	k ɪ n t	K V N T	K V N T	1
chimney	schoorsteen	Schornstein	s x oː r + s t eː n	ʃ ɔ r n + ʃ t ai n	S K V R + S T V N	S V R N + S T V N	1
chimney	schoorsteen	Kamin	s x oː r + s t eː n	k a m iː n	S K V R + S T V N	K V M V N	0
chisel	beitel	Meißel	b ɛɪ t ə l	m ai s ə l	P V T V R	M V S V R	0
chop, hew	hakken	zerhacken	h ɑ k ə	ts ɛ r + h a k ə n	H V K V	K V R + H V K V N	1
claw	klauw	Klaue	k l ɑu w	k l au ə	K R V W	K R V V	1
claw	klauw	Kralle	k l ɑu w	k r a l ə	K R V W	K R V R V	0
clay	klei	Ton	k l ɛɪ	t oː n	K R V	T V N	0
clay	klei	Lehm	k l ɛɪ	l eː m	K R V	R V M	0
cliff, precipice	klif	Klippe	k l ɪ f	k l ɪ p ə	K R V P	K R V P V	1
climb	klimmen	klettern	k l ɪ m ə	k l ɛ t ə r n	K R V M V	K R V T V R N	0
cloth	stof	Stoff	s t ɔ f	ʃ t ɔ f	S T V P	S T V P	1
clothing, clothes	kleding	Kleidung	k l eː d ɪ ŋ	k l ai d ʊ ŋ	K R V T V N	K R V T V N	1
cloud	wolk	Wolke	w ɔ l k	v ɔ l k ə	W V R K	W V R K V	1
cold (catarrh)	verkoudheid	Erkältung	v ə r + k ɑu t + h ɛɪ t	ɛ r + k ɛ l t + ʊ ŋ	W V R + K V T + H V T	V R + K V R T + V N	1
