German_Headword	Dutch_Headword	English_Headword	German_IPA	Dutch_IPA	English_IPA	German_Sound_Classes	Dutch_Sound_Classes	English_Sound_Classes	Cognateset_ID
Weib	wijf	wife	v ai p	ʋ ɛɪ f	ʋ aɪ f	W V P	W V P	W V P	538
Korn	koren	corn	k ɔ r n	k oː r ə	k ɔː n	K V R N	K V R V	K V N	533
Heim	heem	home	h ai m	h eː m	h əʊ m	H V M	H V M	H V M	532
trinken	drinken	drink	t r ɪ ŋ k ə n	d r ɪ ŋ k ə	d r ɪ ŋ k	T R V N K V N	T R V N K V	T R V N K	6
Busen	boezem	bosom	b uː z ə n	b uː z ə m	b ʊ z ə m	P V S V N	P V S V M	P V S V M	7
Sterz	staart	start	ʃ t ɛ r ts	s t aː r t	s t ɑː t	S T V R K	S T V R T	S T V T	8
Bock	bok	buck	b ɔ k	b ɔ k	b ʌ k	P V K	P V K	P V K	9
Mark	mark	march	m a r k	m ɑ r k	m ɑː ʧ	M V R K	M V R K	M V K	12
Taube	dove	dove	t au b ə	d oː v ə	d ʌ v	T V P V	T V W V	T V W	16
Durst	dorst	thirst	d ʊ r s t	d ɔ r s t	θ ɜː s t	T V R S T	T V R S T	T V S T	19
Sporn	spoor	spur	ʃ p ɔ r n	s p oː r	s p ɜː r	S P V R N	S P V R	S P V R	20
meinen	menen	mean	m ai n ə n	m eː n ə	m iː n	M V N V N	M V N V	M V N	21
Name	naam	name	n aː m ə	n aː m	n eɪ m	N V M V	N V M	N V M	23
Erde	aarde	earth	eː r d ə	aː r d ə	ɜː θ	V R T V	V R T V	V T	25
hauen	houwen	hew	h au ə n	h ɑu ʋ ə	h j uː	H V V N	H V W V	H J V	26
Grund	grond	ground	ɡ r ʊ n t	x r ɔ n t	ɡ r aʊ n d	K R V N T	K R V N T	K R V N T	28
suchen	zoeken	seek	z uː x ə n	z uː k ə	s iː k	S V K V N	S V K V	S V K	30
Herz	hart	heart	h ɛ r ts	h ɑ r t	h ɑː t	H V R K	H V R T	H V T	32
Vieh	vee	fee	v iː	v eː	f iː	W V	W V	P V	33
Leim	lijm	lime	l ai m	l ɛɪ m	l aɪ m	R V M	R V M	R V M	34
Nadel	naald	needle	n aː d ə l	n aː l t	n iː d ə l	N V T V R	N V R T	N V T V R	35
Mahr	nachtmerrie	nightmare	m aː r	n ɑ x t m ɛ r iː	n aɪ t m ɛə r	M V R	N V K T M V R V	N V T M V R	36
graben	graven	grave	ɡ r aː b ə n	x r aː v ə	ɡ r ɑː v	K R V P V N	K R V W V	K R V W	37
Sache	zaak	sake	z a x ə	z aː k	s ɑː k ɪ	S V K V	S V K	S V K V	38
fechten	vechten	fight	f ɛ x t ə n	v ɛ x t ə	f aɪ t	P V K T V N	W V K T V	P V T	45
reiten	rijden	ride	r ai t ə n	r ɛɪ d ə	r aɪ d	R V T V N	R V T V	R V T	47
sieben	zeven	seven	z iː b ə n	z eː v ə	s ɛ v ə n	S V P V N	S V W V	S V W V N	50
Spindel	spil	spindle	ʃ p ɪ n d ə l	s p ɪ l	s p ɪ n d ə l	S P V N T V R	S P V R	S P V N T V R	51
Rabe	raaf	raven	r aː b ə	r aː f	r æ v ə n	R V P V	R V P	R V W V N	52
heilen	helen	heal	h ai l ə n	h eː l ə	h iː l	H V R V N	H V R V	H V R	53
Kalb	kalf	calf	k a l p	k ɑ l f	k ɑː f	K V R P	K V R P	K V P	54
Witwe	weduwe	widow	v ɪ t v ə	ʋ eː d yː ʋ ə	ʋ ɪ d əʊ	W V T W V	W V T V W V	W V T V	55
Gang	gang	gang	ɡ a ŋ	x ɑ ŋ	ɡ æ ŋ	K V N	K V N	K V N	56
fahren	varen	fare	f aː r ə n	v aː r ə	f ɛə r	P V R V N	W V R V	P V R	57
Schwert	zwaard	sword	ʃ v eː r t	z ʋ aː r t	s ɔː d	S W V R T	S W V R T	S V T	58
Leber	lever	liver	l eː b ə r	l eː v ə r	l ɪ v ə r	R V P V R	R V W V R	R V W V R	59
Wille	wil	will	v ɪ l ə	ʋ ɪ l	ʋ ɪ l	W V R V	W V R	W V R	60
Berg	berg	barrow	b ɛ r k	b ɛ r x	b æ r əʊ	P V R K	P V R K	P V R V	61
drei	drie	three	d r ai	d r iː	θ r iː	T R V	T R V	T R V	63
Wort	woord	word	v ɔ r t	ʋ oː r t	ʋ ɜː d	W V R T	W V R T	W V T	65
Mal	maal	meal	m aː l	m aː l	m iː l	M V R	M V R	M V R	66
greifen	grijpen	gripe	ɡ r ai f ə n	x r ɛɪ p ə	ɡ r aɪ p	K R V P V N	K R V P V	K R V P	67
fallen	vallen	fall	f a l ə n	v ɑ l ə	f ɔː l	P V R V N	W V R V	P V R	69
Haupt	hoofd	head	h au p t	h oː f t	h ɛ d	H V P T	H V P T	H V T	70
Leid	leed	loath	l ai t	l eː t	l əʊ θ	R V T	R V T	R V T	71
Beere	bes	berry	b eː r ə	b ɛ s	b ɛ r ɪ	P V R V	P V S	P V R V	72
glauben	geloven	believe	ɡ l au b ə n	x ə l oː v ə	b ɪ l iː v	K R V P V N	K V R V W V	P V R V W	73
Winter	winter	winter	v ɪ n t ə r	ʋ ɪ n t ə r	ʋ ɪ n t ə r	W V N T V R	W V N T V R	W V N T V R	76
Braut	bruid	bride	b r au t	b r œy t	b r aɪ d	P R V T	P R V T	P R V T	82
spinnen	spinnen	spin	ʃ p ɪ n ə n	s p ɪ n ə	s p ɪ n	S P V N V N	S P V N V	S P V N	84
Schild	schild	shield	ʃ ɪ l d/t	s x ɪ l t	ʃ iː l d	S V R T	S K V R T	S V R T	86
Ball	bal	ball	b a l	b ɑ l	b ɔː l	P V R	P V R	P V R	87
Nest	nest	nest	n ɛ s t	n ɛ s t	n ɛ s t	N V S T	N V S T	N V S T	88
sterben	sterven	starve	ʃ t ɛ r b ə n	s t ɛ r v ə	s t ɑː v	S T V R P V N	S T V R W V	S T V W	89
neun	negen	nine	n ɔy n	n eː ɣ ə	n aɪ n	N V N	N V K V	N V N	90
