German_Headword	Dutch_Headword	German_IPA	Dutch_IPA	German_Sound_Classes	Dutch_Sound_Classes	Cognateset_ID
Weib	wijf	v ai p	ʋ ɛɪ f	W V P	W V P	538
Korn	koren	k ɔ r n	k oː r ə	K V R N	K V R V	533
Heim	heem	h ai m	h eː m	H V M	H V M	532
Nix	nikker	n ɪ k s	n ɪ k ə r	N V K S	N V K V R	4
trinken	drinken	t r ɪ ŋ k ə n	d r ɪ ŋ k ə	T R V N K V N	T R V N K V	6
Busen	boezem	b uː z ə n	b uː z ə m	P V S V N	P V S V M	7
Sterz	staart	ʃ t ɛ r ts	s t aː r t	S T V R K	S T V R T	8
Bock	bok	b ɔ k	b ɔ k	P V K	P V K	9
Meise	mees	m ai z ə	m eː s	M V S V	M V S	10
Horst	horst	h ɔ r s t	h ɔ r s t	H V R S T	H V R S T	11
Mark	mark	m a r k	m ɑ r k	M V R K	M V R K	12
Halm	halm	h a l m	h ɑ l m	H V R M	H V R M	15
Taube	dove	t au b ə	d oː v ə	T V P V	T V W V	16
Schuld	schuld	ʃ ʊ l d	s x ʉ l t	S V R T	S K V R T	17
Heft	hecht	h ɛ f t	h ɛ x t	H V P T	H V K T	18
Durst	dorst	d ʊ r s t	d ɔ r s t	T V R S T	T V R S T	19
Sporn	spoor	ʃ p ɔ r n	s p oː r	S P V R N	S P V R	20
meinen	menen	m ai n ə n	m eː n ə	M V N V N	M V N V	21
bleiben	blijven	b l ai b ə n	b l ɛɪ v ə	P R V P V N	P R V W V	22
Name	naam	n aː m ə	n aː m	N V M V	N V M	23
Reis	rijs	r ai s	r ɛɪ s	R V S	R V S	24
Erde	aarde	eː r d ə	aː r d ə	V R T V	V R T V	25
hauen	houwen	h au ə n	h ɑu ʋ ə	H V V N	H V W V	26
Schale	schaal	ʃ aː l ə	s x aː l	S V R V	S K V R	27
Grund	grond	ɡ r ʊ n t	x r ɔ n t	K R V N T	K R V N T	28
suchen	zoeken	z uː x ə n	z uː k ə	S V K V N	S V K V	30
Blatt	blad	b l a t	b l ɑ t	P R V T	P R V T	31
Herz	hart	h ɛ r ts	h ɑ r t	H V R K	H V R T	32
Vieh	vee	v iː	v eː	W V	W V	33
Leim	lijm	l ai m	l ɛɪ m	R V M	R V M	34
Nadel	naald	n aː d ə l	n aː l t	N V T V R	N V R T	35
Mahr	nachtmerrie	m aː r	n ɑ x t m ɛ r iː	M V R	N V K T M V R V	36
graben	graven	ɡ r aː b ə n	x r aː v ə	K R V P V N	K R V W V	37
Sache	zaak	z a x ə	z aː k	S V K V	S V K	38
Wehr	weer	v eː r	ʋ eː r	W V R	W V R	39
Darm	darm	d a r m	d ɑ r m	T V R M	T V R M	40
Grube	groeve	ɡ r uː b ə	x r uː v ə	K R V P V	K R V W V	41
Knebel	knevel	k n eː b ə l	k n eː v ə l	K N V P V R	K N V W V R	42
Brunnen	bron	b r ʊ n ə n	b r ɔ n	P R V N V N	P R V N	44
fechten	vechten	f ɛ x t ə n	v ɛ x t ə	P V K T V N	W V K T V	45
wecken	wekken	v ɛ k ə n	ʋ ɛ k ə	W V K V N	W V K V	46
reiten	rijden	r ai t ə n	r ɛɪ d ə	R V T V N	R V T V	47
Hitze	hitte	h ɪ ts ə	h ɪ t ə	H V K V	H V T V	48
Mus	moes	m uː s	m uː s	M V S	M V S	49
sieben	zeven	z iː b ə n	z eː v ə	S V P V N	S V W V	50
Spindel	spil	ʃ p ɪ n d ə l	s p ɪ l	S P V N T V R	S P V R	51
Rabe	raaf	r aː b ə	r aː f	R V P V	R V P	52
heilen	helen	h ai l ə n	h eː l ə	H V R V N	H V R V	53
Kalb	kalf	k a l p	k ɑ l f	K V R P	K V R P	54
Witwe	weduwe	v ɪ t v ə	ʋ eː d yː ʋ ə	W V T W V	W V T V W V	55
Gang	gang	ɡ a ŋ	x ɑ ŋ	K V N	K V N	56
fahren	varen	f aː r ə n	v aː r ə	P V R V N	W V R V	57
Schwert	zwaard	ʃ v eː r t	z ʋ aː r t	S W V R T	S W V R T	58
Leber	lever	l eː b ə r	l eː v ə r	R V P V R	R V W V R	59
Wille	wil	v ɪ l ə	ʋ ɪ l	W V R V	W V R	60
Berg	berg	b ɛ r k	b ɛ r x	P V R K	P V R K	61
drei	drie	d r ai	d r iː	T R V	T R V	63
Wort	woord	v ɔ r t	ʋ oː r t	W V R T	W V R T	65
Mal	maal	m aː l	m aː l	M V R	M V R	66
greifen	grijpen	ɡ r ai f ə n	x r ɛɪ p ə	K R V P V N	K R V P V	67
Wirbel	wervel	v ɪ r b ə l	ʋ ɛ r v ə l	W V R P V R	W V R W V R	68
fallen	vallen	f a l ə n	v ɑ l ə	P V R V N	W V R V	69
Haupt	hoofd	h au p t	h oː f t	H V P T	H V P T	70
Leid	leed	l ai t	l eː t	R V T	R V T	71
Beere	bes	b eː r ə	b ɛ s	P V R V	P V S	72
glauben	geloven	ɡ l au b ə n	x ə l oː v ə	K R V P V N	K V R V W V	73
Lied	lied	l iː t	l iː t	R V T	R V T	74
Steuer	stuur	ʃ t ɔy ə r	s t yː r	S T V V R	S T V R	75
Winter	winter	v ɪ n t ə r	ʋ ɪ n t ə r	W V N T V R	W V N T V R	76
Schalk	schalk	ʃ a l k	s x ɑ l k	S V R K	S K V R K	77
mahlen	malen	m aː l ə n	m aː l ə	M V R V N	M V R V	78
Reise	reis	r ai z ə	r ɛɪ s	R V S V	R V S	79
Rohr	roer	r oː r	r uː r	R V R	R V R	80
Hengst	hengst	h ɛ ŋ s t	h ɛ ŋ s t	H V N S T	H V N S T	81
Braut	bruid	b r au t	b r œy t	P R V T	P R V T	82
Niere	nier	n iː r ə	n iː r	N V R V	N V R	83
spinnen	spinnen	ʃ p ɪ n ə n	s p ɪ n ə	S P V N V N	S P V N V	84
Hals	hals	h a l s	h ɑ l s	H V R S	H V R S	85
Schild	schild	ʃ ɪ l d/t	s x ɪ l t	S V R T	S K V R T	86
Ball	bal	b a l	b ɑ l	P V R	P V R	87
Nest	nest	n ɛ s t	n ɛ s t	N V S T	N V S T	88
sterben	sterven	ʃ t ɛ r b ə n	s t ɛ r v ə	S T V R P V N	S T V R W V	89
neun	negen	n ɔy n	n eː ɣ ə	N V N	N V K V	90
Zapfen	tap	ts a pf ə n	t ɑ p	K V P V N	T V P	91
Salbe	zalf	z a l b ə	z ɑ l f	S V R P V	S V R P	92
Hund	hond	h ʊ n t	h ɔ n t	H V N T	H V N T	93
Fuchs	vos	f ʊ k s	v ɔ s	P V K S	W V S	94
neigen	neigen	n ai ɡ ə n	n ɛɪ ɣ ə	N V K V N	N V K V	96
Husten	hoest	h ʊ s t ə n	h uː s t	H V S T V N	H V S T	97
denken	denken	d ɛ ŋ k ə n	d ɛ ŋ k ə	T V N K V N	T V N K V	98
Dank	dank	d a ŋ k	d ɑ ŋ k	T V N K	T V N K	328
streuen	strooien	ʃ t r ɔy ə n	s t r oː j ə	S T R V V N	S T R V J V	99
vier	vier	f iː r	v iː r	P V R	W V R	100
Speer	speer	ʃ p eː r	s p eː r	S P V R	S P V R	101
Lauge	loog	l au ɡ ə	l oː x	R V K V	R V K	102
Honig	honing	h oː n ɪ x	h oː n ɪ ŋ	H V N V K	H V N V N	103
Mitte	midden	m ɪ t ə	m ɪ d ə	M V T V	M V T V	104
bohren	boren	b oː r ə n	b oː r ə	P V R V N	P V R V	105
Hecke	heg	h ɛ k ə	h ɛ x	H V K V	H V K	106
Geburt	geboorte	ɡ ə b uː r t	x ə b oː r t ə	K V P V R T	K V P V R T V	107
Hand	hand	h a n t	h ɑ n t	H V N T	H V N T	108
Traum	droom	t r au m	d r oː m	T R V M	T R V M	109
Waage	waag	v aː ɡ ə	ʋ aː x	W V K V	W V K	110
laden	laden	l aː d ə n	l aː d ə	R V T V N	R V T V	111
Tier	dier	t iː r	d iː r	T V R	T V R	112
Wal	wal	v aː l	ʋ ɑ l	W V R	W V R	113
Span	spaan	ʃ p aː n	s p aː n	S P V N	S P V N	114
Ader	ader	aː d ə r	aː d ə r	V T V R	V T V R	115
Kern	kern	k ɛ r n	k ɛ r n	K V R N	K V R N	116
tausend	duizend	t au z ə n d	d œy z ə n t	T V S V N T	T V S V N T	117
Nabel	navel	n aː b ə l	n aː v ə l	N V P V R	N V W V R	118
Holz	hout	h ɔ l ts	h ɑu t	H V R K	H V T	119
Hammer	hamer	h a m ə r	h aː m ə r	H V M V R	H V M V R	120
steigen	stijgen	ʃ t ai ɡ ə n	s t ɛɪ ɣ ə	S T V K V N	S T V K V	121
falten	vouw	f a l t ə n	v ɑu ʋ	P V R T V N	W V W	122
Stelze	stelt	ʃ t ɛ l ts ə	s t ɛ l t	S T V R K V	S T V R T	123
Frost	vorst	f r ɔ s t	v ɔ r s t	P R V S T	W V R S T	125
stehlen	stelen	ʃ t eː l ə n	s t eː l ə	S T V R V N	S T V R V	126
Farn	varen	f a r n	v aː r ə	P V R N	W V R V	127
Netz	net	n ɛ ts	n ɛ t	N V K	N V T	128
Bahre	baar	b aː r ə	b aː r	P V R V	P V R	129
Dampf	damp	d/t a m pf	d ɑ m p	T V M P	T V M P	130
Hilfe	hulp	h ɪ l f ə	h ʉ l p	H V R P V	H V R P	131
Not	nood	n oː t	n oː t	N V T	N V T	132
Hinde	hinde	h ɪ n d ə	h ɪ n d ə	H V N T V	H V N T V	133
Hasel	hazelaar	h aː z ə l	h aː z ə l aː r	H V S V R	H V S V R V R	134
Strang	streng	ʃ t r a ŋ	s t r ɛ ŋ	S T R V N	S T R V N	135
Raum	ruim	r au m	r œy m	R V M	R V M	136
brechen	breken	b r ɛ x ə n	b r eː k ə	P R V K V N	P R V K V	137
Bruch	broek	b r ʊ x	b r uː k	P R V K	P R V K	415
Wucher	woeker	v uː x ə r	ʋ uː k ə r	W V K V R	W V K V R	138
Otter	adder	ɔ t ə r	ɑ d ə r	V T V R	V T V R	139
Saum	zoom	z au m	z oː m	S V M	S V M	140
Leiche	lijk	l ai x ə	l ɛɪ k	R V K V	R V K	141
Bann	ban	b a n	b ɑ n	P V N	P V N	142
Spange	spang	ʃ p a ŋ ə	s p ɑ ŋ	S P V N V	S P V N	143
