Headword	English_IPA	English_Sound_Classes
wife	ʋ aɪ f	W V P
corn	k ɔː n	K V N
home	h əʊ m	H V M
drink	d r ɪ ŋ k	T R V N K
bosom	b ʊ z ə m	P V S V M
start	s t ɑː t	S T V T
buck	b ʌ k	P V K
march	m ɑː ʧ	M V K
dove	d ʌ v	T V W
thirst	θ ɜː s t	T V S T
spur	s p ɜː r	S P V R
mean	m iː n	M V N
name	n eɪ m	N V M
earth	ɜː θ	V T
hew	h uː	H V
ground	ɡ r aʊ n d	K R V N T
seek	s iː k	S V K
heart	h ɑː t	H V T
fee	f iː	P V
lime	l aɪ m	R V M
needle	n iː d ə l	N V T V R
nightmare	m ɛə r	M V R
grave	ɡ r ɑː v	K R V W
sake	s eɪ k	S V K
fight	f aɪ t	P V T
ride	r aɪ d	R V T
seven	s ɛ v ə n	S V W V N
spindle	s p ɪ n d ə l	S P V N T V R
raven	r æ v ə	R V W V
heal	h iː l	H V R
calf	k ɑː f	K V P
widow	ʋ ɪ d əʊ	W V T V
gang	ɡ æ ŋ	K V N
fare	f ɛə r	P V R
sword	s ɔː d	S V T
liver	l ɪ v ə r	R V W V R
will	ʋ ɪ l	W V R
barrow	b æ r əʊ	P V R V
three	θ r iː	T R V
word	ʋ ɜː d	W V T
meal	m iː l	M V R
gripe	ɡ r aɪ p	K R V P
fall	f ɔː l	P V R
head	h ɛ d	H V T
loath	l əʊ θ	R V T
berry	b ɛ r	P V R
believe	l iː v	R V W
winter	ʋ ɪ n t ə r	W V N T V R
bride	b r aɪ d	P R V T
spin	s p ɪ n	S P V N
shield	ʃ iː l d	S V R T
ball	b ɔː l	P V R
nest	n ɛ s t	N V S T
starve	s t ɑː v	S T V W
nine	n aɪ n	N V N
tap	t æ p	T V P
salve	s æ l v	S V R W
hound	h aʊ n d	H V N T
fox	f ɔ k s	P V K S
think	θ ɪ ŋ k	T V N K
thanks	θ æ ŋ k	T V N K
strew	s t r uː	S T R V
four	f ɔː r	P V R
spear	s p ɪə r	S P V R
lye	l aɪ	R V
honey	h ʌ n ɪ	H V N V
bore	b ɔː r	P V R
hedge	h ɛ ʤ	H V K
birth	b ɜː θ	P V T
hand	h æ n d	H V N T
dream	d r iː m	T R V M
lade	l eɪ d	R V T
deer	d ɪə r	T V R
whale	ʋ eɪ l	W V R
spoon	s p uː n	S P V N
thousand	θ aʊ z ə n d	T V S V N T
navel	n eɪ v ə l	N V W V R
hammer	h æ m ə r	H V M V R
fold	f əʊ l d	P V R T
stilt	s t ɪ l t	S T V R T
frost	f r ɔ s t	P R V S T
