Headword	German_IPA	German_Sound_Classes
weib	v ai p	W V P
korn	k ɔ r n	K V R N
heim	h ai m	H V M
trinken	t r ɪ ŋ k ə n	T R V N K V N
busen	b uː z ə n	P V S V N
sterz	ʃ t ɛ r ts	S T V R K
bock	b ɔ k	P V K
mark	m a r k	M V R K
taube	t au b ə	T V P V
durst	d ʊ r s t	T V R S T
sporn	ʃ p ɔ r n	S P V R N
meinen	m ai n ə n	M V N V N
name	n aː m ə	N V M V
erde	eː r d ə	V R T V
hauen	h au ə n	H V V N
grund	ɡ r ʊ n t	K R V N T
suchen	z uː x ə n	S V K V N
herz	h ɛ r ts	H V R K
vieh	v iː	W V
leim	l ai m	R V M
nadel	n aː d ə l	N V T V R
mahr	m aː r	M V R
graben	ɡ r aː b ə n	K R V P V N
sache	z a x ə	S V K V
fechten	f ɛ x t ə n	P V K T V N
reiten	r ai t ə n	R V T V N
sieben	z iː b ə n	S V P V N
spindel	ʃ p ɪ n d ə l	S P V N T V R
rabe	r aː b ə	R V P V
heilen	h ai l ə n	H V R V N
kalb	k a l p	K V R P
witwe	v ɪ t v ə	W V T W V
gang	ɡ a ŋ	K V N
fahren	f aː r ə n	P V R V N
schwert	ʃ v eː r t	S W V R T
leber	l eː b ə r	R V P V R
wille	v ɪ l ə	W V R V
berg	b ɛ r k	P V R K
drei	d r ai	T R V
wort	v ɔ r t	W V R T
mal	m aː l	M V R
greifen	ɡ r ai f ə n	K R V P V N
fallen	f a l ə n	P V R V N
haupt	h au p t	H V P T
leid	l ai t	R V T
beere	b eː r ə	P V R V
glauben	ɡ l au b ə n	K R V P V N
winter	v ɪ n t ə r	W V N T V R
braut	b r au t	P R V T
spinnen	ʃ p ɪ n ə n	S P V N V N
schild	ʃ ɪ l d/t	S V R T
ball	b a l	P V R
nest	n ɛ s t	N V S T
sterben	ʃ t ɛ r b ə n	S T V R P V N
neun	n ɔy n	N V N
zapfen	ts a pf ə n	K V P V N
salbe	z a l b ə	S V R P V
hund	h ʊ n t	H V N T
fuchs	f ʊ k s	P V K S
denken	d ɛ ŋ k ə n	T V N K V N
dank	d a ŋ k	T V N K
streuen	ʃ t r ɔy ə n	S T R V V N
vier	f iː r	P V R
speer	ʃ p eː r	S P V R
lauge	l au ɡ ə	R V K V
honig	h oː n ɪ x	H V N V K
bohren	b oː r ə n	P V R V N
hecke	h ɛ k ə	H V K V
geburt	ɡ ə b uː r t	K V P V R T
hand	h a n t	H V N T
traum	t r au m	T R V M
laden	l aː d ə n	R V T V N
tier	t iː r	T V R
wal	v aː l	W V R
span	ʃ p aː n	S P V N
tausend	t au z ə n d	T V S V N T
nabel	n aː b ə l	N V P V R
hammer	h a m ə r	H V M V R
falten	f a l t ə n	P V R T V N
stelze	ʃ t ɛ l ts ə	S T V R K V
frost	f r ɔ s t	P R V S T
stehlen	ʃ t eː l ə n	S T V R V N
farn	f a r n	P V R N
netz	n ɛ ts	N V K
bahre	b aː r ə	P V R V
hilfe	h ɪ l f ə	H V R P V
not	n oː t	N V T
hinde	h ɪ n d ə	H V N T V
