HEADWORD	IPA	SOUND_CLASSES
A	a	V
Ä	æ	V
aalen	a l ə n	V R V N
Aal	a l	V R
aalglatt	a l g l a t	V R K R V T
Aar	a r	V R
Aas	a s	V S
Aasgeier	a s g ai ə r	V S K V V R
ab	a p	V P
ab	a p	V P
Abakus	a b a k ʊ s	V P V K V S
abändern	a p ɛ n d ə r n	V P V N T V R N
abänderlich	a p ɛ n d ə r l ɪ x	V P V N T V R R V K
Abänderung	a p ɛ n d ə r ʊ ŋ	V P V N T V R V N
Abandon	a b ã d õ	V P V T V
abandonnieren	a b ã d ɔ n i r ə n	V P V T V N V R V N
abarbeiten	a p a r b ai t ə n	V P V R P V T V N
abarten	a p a r t ə n	V P V R T V N
Abart	a p a r t	V P V R T
abartig	a p a r t ɪ x	V P V R T V K
Abartung	a p a r t ʊ ŋ	V P V R T V N
Abasie	a b a z i	V P V S V
abästen	a p ɛ s t ə n	V P V S T V N
abbaün	a p b au ə n	V P P V V N
Abbau	a p b au	V P P V
Abbaufeld	a p b au f ɛ l t	V P P V P V R T
Abbaugerechtigkeit	a p b au g ə r ɛ x t ɪ x k ai t	V P P V K V R V K T V K K V T
Abbaurecht	a p b au r ɛ x t	V P P V R V K T
abbauwürdig	a p b au v ʏ r d ɪ x	V P P V W V R T V K
abbeissen	a p b ai s ə n	V P P V S V N
abbeizen	a p b ai ts ə n	V P P V K V N
abbekommen	a p b ə k ɔ m ə n	V P P V K V M V N
abberufen	a p b ə r u f ə n	V P P V R V P V N
Abberufung	a p b ə r u f ʊ ŋ	V P P V R V P V N
abbestellen	a p b ə ʃ t ɛ l ə n	V P P V S T V R V N
Abbestellung	a p b ə ʃ t ɛ l ʊ ŋ	V P P V S T V R V N
abbezahlen	a p b ə ts a l ə n	V P P V K V R V N
abbiegen	a p b i g ə n	V P P V K V N
abbilden	a p b ɪ l d ə n	V P P V R T V N
Abbild	a p b ɪ l t	V P P V R T
Abbildung	a p b ɪ l d ʊ ŋ	V P P V R T V N
abbimsen	a p b ɪ m z ə n	V P P V M S V N
abbinden	a p b ɪ n d ə n	V P P V N T V N
abbitten	a p b ɪ t ə n	V P P V T V N
Abbitte	a p b ɪ t ə	V P P V T V
abblasen	a p b l a z ə n	V P P R V S V N
abblassen	a p b l a s ə n	V P P R V S V N
abblättern	a p b l ɛ t ə r n	V P P R V T V R N
abblenden	a p b l ɛ n d ə n	V P P R V N T V N
Abblendlicht	a p b l ɛ n t l ɪ x t	V P P R V N T R V K T
abblitzen	a p b l ɪ ts ə n	V P P R V K V N
abblocken	a p b l ɔ k ə n	V P P R V K V N
Abbrand	a p b r a n t	V P P R V N T
Abbrändler	a p b r ɛ n t l ə r	V P P R V N T R V R
abbrechen	a p b r ɛ x ə n	V P P R V K V N
abbremsen	a p b r ɛ m z ə n	V P P R V M S V N
abbrennen	a p b r ɛ n ə n	V P P R V N V N
Abbreviation	a b r e v i a ts i o n	V P R V W V V K V V N
Abbreviatur	a b r e v i a t u r	V P R V W V V T V R
abbreviieren	a b r e v i i r ə n	V P R V W V V R V N
abbringen	a p b r ɪ ŋ ə n	V P P R V N V N
abbröckeln	a p b r œ k ə l n	V P P R V K V R N
Abbröckelung	a p b r œ k ə l ʊ ŋ	V P P R V K V R V N
Abbruch	a p b r ʊ x	V P P R V K
Abbrucharbeit	a p b r ʊ x a r b ai t	V P P R V K V R P V T
abbruchreif	a p b r ʊ x r ai f	V P P R V K R V P
abbrühen	a p b r y ə n	V P P R V V N
abbuchen	a p b u x ə n	V P P V K V N
