German_Word,Dutch_Word,Similarity
ich,ik,0.8773183634650885
rechnung,rekening,0.9043665028661318
luft,lucht,0.7830052251888668
tier,dier,0.7348348849472655
tier,beest,0.7359172974009593
knöchel,enkel,0.4391885273122702
bogen,boog,0.9008490304093207
wölbung,boog,0.45556766129731163
achselhöhle,oksel,0.9428538607889962
tante,tante,0.8863916516362119
rücken,rug,0.7161829297537636
kahl,kaal,0.809367084923406
rinde,bast,0.747756648676253
borke,bast,0.7266518857371151
gerste,gerst,0.9463707432215672
bohne,boon,0.9084258031758319
bart,baard,0.9483531722918208
bett,bed,0.9251092276683297
buche,beuk,0.8654559675366058
zeugen,verwekken,0.4795756954473278
bettler,bedelaar,0.9556921957546097
platz,plaats,0.7991923320445304
beugen,buigen,0.8346931686691894
getränk,drank,0.9017989619776272
vogel,vogel,0.8857522964526836
decke,deken,0.6217156454424422
blind,blind,0.8663499699727479
blinzeln,knipperen,0.904603680096544
blase,blaar,0.672121877605329
blut,bloed,0.9149860497892138
blasen,blazen,0.8265011841928919
leib,lichaam,0.7567380067783289
körper,lichaam,0.8421316884962986
furunkel,steenpuist,0.8040691776537701
knochen,bot,0.4143384222123763
stiefel,laars,0.9540201450018155
bohren,boren,0.9093767421032348
boden,bodem,0.7485095135659067
napf,kom,0.7068336542444483
schale,kom,0.4103604719149835
junge,jongen,0.9053217493518109
knabe,jongen,0.9031050664158426
armband,armband,0.9730854206439121
gehirn,hersenen,0.956935576723948
zweig,tak,0.8207505818409905
brot,brood,0.9337592710175788
brechen,breken,0.8930208236514966
brust,borst,0.9365372063226889
atmen,ademen,0.9581042641182311
backstein,baksteen,0.8608222427753556
brücke,brug,0.9556870915500242
bringen,brengen,0.8678865372973326
gebrochen,kapot,0.5495274520163806
gebrochen,stuk,0.07818392822306555
quetschung,kneuzing,0.8532848873282102
bürste,borstel,0.9433797373725967
bauen,bouwen,0.9152104972445969
stier,stier,0.8570461779904887
bulle,stier,0.6003222981559158
begraben,begraven,0.9348126726381425
beerdigen,begraven,0.9428641469738155
butter,boter,0.9451630637542239
schmetterling,vlinder,0.9108505626055818
gesäss,billen,0.8649782693462733
knopf,knoop,0.5912821989569714
kaufen,kopen,0.9460358371162956
kalb,kalf,0.8659781901928951
wade,kuit,0.781761137766547
meeresstille,kalm,0.05496854609467065
meeresstille,rustig,0.050928048689237906
