German_Headword	Dutch_Headword	English_Headword	German_IPA	Dutch_IPA	English_IPA	German_Sound_Classes	Dutch_Sound_Classes	English_Sound_Classes	Cognateset_ID
Bein	been	bone	b ai n	b eː n	b əʊ n	P V N	P V N	P V N	284
backen	bakken	bake	b a k ə	b ɑ k ə	b eɪ k	P V K V	P V K V	P V K	391
Balg	balg	belly	b a l k	b ɑ l x	b ɛ l ɪ	P V R K	P V R K	P V R V	462
Ball	bal	ball	b a l	b ɑ l	b ɔː l	P V R	P V R	P V R	87
Bann	ban	ban	b a n	b ɑ n	b æ n	P V N	P V N	P V N	142
Bart	baard	beard	b aː r t	b aː r t	b ɪə d	P V R T	P V R T	P V T	322
Bahre	baar	bier	b aː r	b aː r	b ɪə r	P V R	P V R	P V R	129
Bast	bast	bast	b a s t	b ɑ s t	b æ s t	P V S T	P V S T	P V S T	448
beugen	buigen	bow	b ɔy g ə	b œy ɣ ə	b əʊ	P V K V	P V K V	P V	356
Beere	bes	berry	b eː r	b ɛ s	b ɛ r	P V R	P V S	P V R	72
Bad	bad	bath	b aː d	b ɑ t	b ɑː θ	P V T	P V T	P V T	360
Biber	bever	beaver	b iː b ə r	b eː v ə r	b iː v ə r	P V P V R	P V W V R	P V W V R	508
binden	binden	bind	b ɪ n d ə	b ɪ n d ə	b aɪ n d	P V N T V	P V N T V	P V N T	160
Berg	berg	barrow	b ɛ r k	b ɛ r x	b æ r əʊ	P V R K	P V R K	P V R V	61
bieten	bieden	bid	b iː t ə	b iː d ə	b ɪ d	P V T V	P V T V	P V T	149
biegen	buigen	bow	b iː g ə	b œy ɣ ə	b əʊ	P V K V	P V K V	P V	255
bitten	bidden	bid	b ɪ t ə	b ɪ d ə	b ɪ d	P V T V	P V T V	P V T	397
Blut	bloed	blood	b l uː t	b l uː t	b l ʌ d	P R V T	P R V T	P R V T	235
Brand	brand	brand	b r a n d	b r ɑ n t	b r æ n d	P R V N T	P R V N T	P R V N T	218
Brot	brood	bread	b r oː t	b r oː t	b r ɛ d	P R V T	P R V T	P R V T	317
brechen	breken	break	b r ɛ x ə	b r eː k ə	b r eɪ k	P R V K V	P R V K V	P R V K	137
Bruch	broek	breeches	b r ʊ x	b r uː k	b r ʊ k	P R V K	P R V K	P R V K	415
bringen	brengen	bring	b r ɪ ŋ ə	b r ɛ ŋ ə	b r ɪ ŋ	P R V N V	P R V N V	P R V N	453
bersten	barsten	burst	b ɛ r s t ə	b ɑ r s t ə	b ɜː s t	P V R S T V	P V R S T V	P V S T	480
Brust	borst	breast	b r ʊ s t	b r s t	b r ɛ s t	P R V S T	P R S T	P R V S T	485
Braut	bruid	bride	b r au t	b r œy t	b r aɪ d	P R V T	P R V T	P R V T	82
brauchen	gebruiken	brook	b r au x ə	b r œy k ə	b r ʊ k	P R V K V	P R V K V	P R V K	311
Boden	bodem	bottom	b oː d ə n	b oː d ə m	b ɔ t ə m	P V T V N	P V T V M	P V T V M	224
Bogen	boog	bow	b oː g	b oː x	b əʊ	P V K	P V K	P V	388
Bock	bok	buck	b ɔ k	b ɔ k	b ʌ k	P V K	P V K	P V K	9
Bord	bord	board	b ɔ r t	b ɔ r t	b ɔː d	P V R T	P V R T	P V T	357
Geburt	geboorte	birth	b uː r t	b oː r t	b ɜː θ	P V R T	P V R T	P V T	107
bohren	boren	bore	b oː r ə	b oː r ə	b ɔː r	P V R V	P V R V	P V R	105
beide	beide	both	b ai	b ɛɪ	b əʊ	P V	P V	P V	176
Buch	boek	book	b uː x	b uː k	b ʊ k	P V K	P V K	P V K	257
Buche	beukeboom	beech	b uː x	b øː k	b iː tʃ	P V K	P V K	P V T	511
Busen	boezem	bosom	b uː z ə n	b uː z ə m	b ʊ z ə m	P V S V N	P V S V M	P V S V M	7
Bauer	boer	bower	b au ə r	b uː r	b aʊ ə r	P V V R	P V R	P V V R	283
Tag	dag	day	t aː k	d ɑ x	d eɪ	T V K	T V K	T V	214
Teig	deeg	dough	t ai k	d eː x	d əʊ	T V K	T V K	T V	209
Teil	deel	deal	t ai l	d eː l	d iː l	T V R	T V R	T V R	297
Tal	dal	dale	t aː l	d ɑ l	d eɪ l	T V R	T V R	T V R	324
Tau	dauw	dew	t au	d ɑu	d uː	T V	T V	T V	416
Dill	dille	dill	t ɪ l	d ɪ l	d ɪ l	T V R	T V R	T V R	246
Tier	dier	deer	t iː r	d iː r	d ɪə r	T V R	T V R	T V R	112
Trank	drank	drench	t r a ŋ k	d r ɑ ŋ k	d r ɛ n tʃ	T R V N K	T R V N K	T R V N T	204
Traum	droom	dream	t r au m	d r oː m	d r iː m	T R V M	T R V M	T R V M	109
trinken	drinken	drink	t r ɪ ŋ k ə	d r ɪ ŋ k ə	d r ɪ ŋ k	T R V N K V	T R V N K V	T R V N K	6
treiben	drijven	drive	t r ai b ə	d r ɛɪ v ə	d r aɪ v	T R V P V	T R V W V	T R V W	341
Tat	daad	deed	t aː t	d aː t	d iː d	T V T	T V T	T V T	159
tun	doen	do	t uː n	d uː n	d uː	T V N	T V N	T V	434
Taube	dove	dove	t au b ə	d oː v ə	d ʌ v	T V P V	T V W V	T V W	16
ein	een	one	ai n	eː n	ʌ n	V N	V N	V N	166
Erde	aarde	earth	eː r d ə	aː r d ə	ɜː θ	V R T V	V R T V	V T	25
essen	eten	eat	ɛ s ə	eː t ə	iː t	V S V	V T V	V T	365
Vater	vader	father	f aː t ə r	v aː d ə r	f ɑː ð ə r	P V T V R	W V T V R	P V T V R	250
fallen	vallen	fall	f a l ə	v ɑ l ə	f ɔː l	P V R V	W V R V	P V R	69
falten	vouw	fold	f a l t ə	v ɑu ʋ ə	f əʊ l d	P V R T V	W V W V	P V R T	122
fahren	varen	fare	f aː r ə	v aː r ə	f ɛə r	P V R V	W V R V	P V R	57
Farn	varen	fern	f a r n	v aː r	f ɜː n	P V R N	W V R	P V N	127
fasten	vasten	fast	f a s t ə	v ɑ s t ə	f ɑː s t	P V S T V	W V S T V	P V S T	361
vier	vier	four	f iː r	v iː r	f ɔː r	P V R	W V R	P V R	100
Fell	vel	fell	f ɛ l	v ɛ l	f ɛ l	P V R	W V R	P V R	493
Feld	veld	field	f ɛ l d	v ɛ l t	f iː l d	P V R T	W V R T	P V R T	192
Finger	vinger	finger	f ɪ ŋ ə r	v ɪ ŋ ə r	f ɪ ŋ ə r	P V N V R	W V N V R	P V N V R	466
finden	vinden	find	f ɪ n d ə	v ɪ n d ə	f aɪ n d	P V N T V	W V N T V	P V N T	482
fechten	vechten	fight	f ɛ x t ə	v ɛ x t ə	f aɪ t	P V K T V	W V K T V	P V T	45
Vieh	vee	fee	v iː	v eː	f iː	W V	W V	P V	33
Fisch	vis	fish	f ɪ ʃ	v ɪ s	f ɪ ʃ	P V S	W V S	P V S	346
Fleisch	vlees	flesh	f l ai ʃ	v l eː s	f l ɛ ʃ	P R V S	W R V S	P R V S	282
Floh	vlo	flea	f l oː	v l oː	f l iː	P R V	W R V	P R V	267
Flachs	vlas	flax	f l a k s	v l ɑ s	f l æ k s	P R V K S	W R V S	P R V K S	496
fliegen	vliegen	fly	f l iː g ə	v l iː ɣ ə	f l aɪ	P R V K V	W R V K V	P R V	304
fliehen	vlieden	flee	f l iː ə	v l iː ə	f l iː	P R V V	W R V V	P R V	337
Flut	vloed	flood	f l uː t	v l uː t	f l ʌ d	P R V T	W R V T	P R V T	386
frieren	vriezen	freeze	f r iː r ə	v r iː z ə	f r iː z	P R V R V	W R V S V	P R V S	254
Freund	vriend	friend	f r ɔy n d	v r iː n t	f r ɛ n d	P R V N T	W R V N T	P R V N T	463
Frost	vorst	frost	f r ɔ s t	v ɔ s t	f r ɔ s t	P R V S T	W V S T	P R V S T	125
Vogel	vogel	fowl	f oː g ə l	v oː ɣ ə l	f aʊ l	P V K V R	W V K V R	P V R	502
folgen	volgen	follow	f ɔ l g ə	v ɔ l ɣ ə	f ɔ l əʊ	P V R K V	W V R K V	P V R V	517
Volk	volk	folk	f ɔ l k	v ɔ l k	f əʊ k	P V R K	W V R K	P V K	213
Faust	vuist	fist	f au s t	v œy s t	f ɪ s t	P V S T	W V S T	P V S T	501
Furche	voor	furrow	f ʊ r	v oː r	f ʌ r	P V R	W V R	P V R	262
Feuer	vuur	fire	f ɔy ə r	v yː r	f aɪ ə r	P V V R	W V R	P V V R	435
Fuchs	vos	fox	f ʊ k s	v ɔ s	f ɔ k s	P V K S	W V S	P V K S	94
Futter	voer	fodder	f ʊ t ə r	v uː r	f ɔ d ə r	P V T V R	W V R	P V T V R	244
Galle	gal	gall	g a l	x ɑ l	g ɔː l	K V R	K V R	K V R	205
Gang	gang	gang	g a ŋ	x ɑ ŋ	g æ ŋ	K V N	K V N	K V N	56
