ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
1032	ProtoGermanic	*bainan	*bainan	bainan	b ai n a n		284	b ai n ( a n )
1033	German	*bainan	Bein	bain	b ai n		284	b ai n ( - - )
1034	English	*bainan	bone	bəʊn	b əʊ n		284	b əʊ n ( - - )
1035	Dutch	*bainan	been	beːn	b eː n		284	b eː n ( - - )
1423	ProtoGermanic	*bakanan	*bakanan	bakanan	b a k a n a n		391	b a kk a n ( a n )
1424	German	*bakanan	backen	bakən	b a k ə n		391	b a k ə n ( - - )
1425	English	*bakanan	bake	beɪk	b eɪ k		391	b eɪ k - - ( - - )
1426	Dutch	*bakanan	bakken	bɑkə	b ɑ k ə		391	b ɑ k ə - ( - - )
800	ProtoGermanic	*bakiz	*bakiz	bakiz	b a k i z		220	b a k ( i z )
801	German	*bakiz	Bach	bax	b a x		220	b a x ( - - )
802	Dutch	*bakiz	beek	beːk	b eː k		220	b eː k ( - - )
1680	ProtoGermanic	*balgiz	*balgiz	balgiz	b a l g i z		462	b a l g ( i z )
1681	German	*balgiz	Balg	balk	b a l k		462	b a l k ( - - )
1682	English	*balgiz	belly	bɛlɪ	b ɛ l ɪ		462	b ɛ l ɪ ( - - )
1683	Dutch	*balgiz	balg	bɑlx	b ɑ l x		462	b ɑ l x ( - - )
310	ProtoGermanic	*balluz	*balluz	balluz	b a lː u z		87	b a lː ( u z )
311	German	*balluz	Ball	bal	b a l		87	b a l ( - - )
312	English	*balluz	ball	bɔːl	b ɔː l		87	b ɔː l ( - - )
313	Dutch	*balluz	bal	bɑl	b ɑ l		87	b ɑ l ( - - )
1336	ProtoGermanic	*bandan	*bandan	bandan	b a n d a n		367	b a n d ( a n )
1337	German	*bandan	Band	bant	b a n d		367	b a n d ( - - )
1338	Dutch	*bandan	band	bɛnt	b ɛ n t		367	b ɛ n t ( - - )
517	ProtoGermanic	*bannan	*bannan	bannan	b a nː a n		142	b a nː ( a n )
518	German	*bannan	Bann	ban	b a n		142	b a n ( - - )
519	English	*bannan	ban	bæn	b æ n		142	b æ n ( - - )
520	Dutch	*bannan	ban	bɑn	b ɑ n		142	b ɑ n ( - - )
1172	ProtoGermanic	*bardaz	*bardaz	bardaz	b a r d a z		322	b a r d ( a z )
1173	German	*bardaz	Bart	baːrt	b aː r t		322	b aː r t ( - - )
1174	English	*bardaz	beard	bɪəd	b ɪə d		322	b ɪə - d ( - - )
1175	Dutch	*bardaz	baard	baːrt	b aː r t		322	b aː r t ( - - )
468	ProtoGermanic	*barwōn	*barwōn	barwoːn	b a r w oː n		129	b a r ( w oː n )
469	German	*barwōn	Bahre	baːrə	b aː r ə		129	b aː r ( - ə - )
470	English	*barwōn	bier	bɪər	b ɪə r		129	b ɪə r ( - - - )
471	Dutch	*barwōn	baar	baːr	b aː r		129	b aː r ( - - - )
1176	ProtoGermanic	*barzan	*barzan	barzan	b a r z a n		323	b a r z a n
1177	German	*barzan	Barsch	baːrʃ	b aː r ʃ		323	b aː r ʃ - -
1178	Dutch	*barzan	baars	baːrs	b aː r s		323	b aː r s - -
1626	ProtoGermanic	*bastan	*bastan	bastan	b a s t a n		448	b a s t ( a n )
1627	German	*bastan	Bast	bast	b a s t		448	b a s t ( - - )
1628	English	*bastan	bast	bæst	b æ s t		448	b æ s t ( - - )
1629	Dutch	*bastan	bast	bɑst	b ɑ s t		448	b ɑ s t ( - - )
1293	ProtoGermanic	*baugjanan	*baugjanan	baugjanan	b au g j a n a n		356	b au g j a n ( a n )
1294	German	*baugjanan	beugen	bɔyɡən	b ɔy g ə n		356	b ɔy g - ə n ( - - )
1295	English	*baugjanan	bow	bəʊ	b əʊ		356	b əʊ - - - - ( - - )
1296	Dutch	*baugjanan	buigen	bœyɣə	b œy ɣ ə		356	b œy ɣ - ə - ( - - )
259	ProtoGermanic	*bazjan	*bazjan	bazjan	b a z j a n		72	b a z j ( a n )
260	German	*bazjan	Beere	beːrə	b eː r ə		72	b eː r - ( ə - )
261	English	*bazjan	berry	bɛrɪ	b ɛ r ɪ		72	b ɛ r - ( ɪ - )
262	Dutch	*bazjan	bes	bɛs	b ɛ s		72	b ɛ s - ( - - )
1308	ProtoGermanic	*baθan	*baθan	baθan	b a θ a n		360	b a θ ( a n )
1309	German	*baθan	Bad	baːt	b aː d		360	b aː d ( - - )
1310	English	*baθan	bath	bɑːθ	b ɑː θ		360	b ɑː θ ( - - )
1311	Dutch	*baθan	bad	bɑt	b ɑ t		360	b ɑ t ( - - )
1846	ProtoGermanic	*bebruz	*bebruz	bebruz	b e b r u z		508	b e b - r ( u z )
1847	German	*bebruz	Biber	biːbər	b iː b ə r		508	b iː b ə r ( - - )
1848	English	*bebruz	beaver	biːvər	b iː v ə r		508	b iː v ə r ( - - )
1849	Dutch	*bebruz	bever	beːvər	b eː v ə r		508	b eː v ə r ( - - )
580	ProtoGermanic	*bendanan	*bendanan	bendanan	b e n d a n a n		160	b e n d a n ( a n )
581	German	*bendanan	binden	bɪndən	b ɪ n d ə n		160	b ɪ n d ə n ( - - )
582	English	*bendanan	bind	baɪnd	b aɪ n d		160	b aɪ n d - - ( - - )
583	Dutch	*bendanan	binden	bɪndə	b ɪ n d ə		160	b ɪ n d ə - ( - - )
1911	ProtoGermanic	*benutaz	*benutaz	benutaz	b e n u t a z		526	b e n ( u t a z )
1912	German	*benutaz	Binse	bɪnzə	b ɪ n z ə		526	b ɪ n ( - z ə - )
1913	Dutch	*benutaz	bies	biːs	b iː s		526	b iː - ( - s - - )
218	ProtoGermanic	*bergan	*bergan	bergan	b e r g a n		61	b e r g ( a n )
219	German	*bergan	Berg	bɛrk	b ɛ r k		61	b ɛ r k ( - - )
220	English	*bergan	barrow	bærəʊ	b æ r əʊ		61	b æ r əʊ ( - - )
221	Dutch	*bergan	berg	bɛrx	b ɛ r x		61	b ɛ r x ( - - )
1527	ProtoGermanic	*berganan	*berganan	berganan	b e r g a n a n		420	b e r g a n ( a n )
1528	German	*berganan	bergen	bɛrɡən	b ɛ r g ə n		420	b ɛ r g ə n ( - - )
1529	Dutch	*berganan	bergen	bɛrɣə	b ɛ r ɣ ə		420	b ɛ r ɣ ə - ( - - )
542	ProtoGermanic	*beudanan	*beudanan	beudanan	b eu d a n a n		149	b eu d a n ( a n )
543	German	*beudanan	bieten	biːtən	b iː t ə n		149	b iː t ə n ( - - )
544	English	*beudanan	bid	bɪd	b ɪ d		149	b ɪ d - - ( - - )
545	Dutch	*beudanan	bieden	biːdə	b iː d ə		149	b iː d ə - ( - - )
