verwijde	nloorsp	commenta	lrsID	nedespel	hduispel	jaarnl	herknl	oorsprnl	nedecog	hduitcog	nedetran	hduitran	herkhdui	oorsphdui
 	 	 	1	nadeel	nachteil	1578	1	1	2	2	na:de:l	na:xtajl	1	1
 	 	 	2	moeite	mühe	1300	1	1	2	2	mujt@	my:@	1	1
 	naam	 	3	naam	name	1236	1	1	1	1	na:m	na:m@	1	1
 	oprichting	richten	4	oprichting	errichtung	1201	1	1	3	4	OprIxtIN	E6RICtUN	1	1
 	 	 	5	wet	gesetz	901	1	1	2	3	v\Et	g@zEts	1	1
 	gebrek	 	6	gebrek	mangel	1254	1	1	3	1	G@brEk	maNl	2	3
 	begroting	 	7	budget	budget	1816	6	7	1	1	bYdZEt	bydZe:	5	6
 	overleg	leggen	8	overleg	überlegung	1201	1	1	2	4	o:v@rlEx	y:b6le:gUN	1	1
 	relatie	 	9	relatie	verhältnis	1370	6	2	1	2	r@la:tsi	fE6hEltnIs	1	1
 	 	 	10	bus	bus	1887	7	2	1	1	bYs	bUs	6	7
 	strategie	 	11	strategie	strategie	1897	6	3	1	1	strateGi	StRategi:	6	3
 	storm	 	12	storm	sturm	1201	1	1	1	1	stOrm	StU6m	1	1
 	belasting	last	13	belasting	steuer	1275	1	1	2	3	b@lastIN	StOj6	1	1
 	 	 	14	universiteit	universtität	1300	6	2	1	1	ynivErzitEjt	univ\E6zitE:t	2	2
 	bijdrage	dragen	15	bijdrage	beitrag	1236	8	1	1	1	bEjdra:G@	bajtRa:k	1	1
 	soort	 	16	type	typ	1658	6	3	1	1	tip@	ty:p	2	3
 	bepaling	bepalen	17	bepaling	bestimmung	1283	2	2	2	3	b@pa:lIN	b@StImUN	1	1
 	belofte!	beloven	18	belofte!	versprechen	1201	1	1	2	3	b@lOft@	fE6SpRECn	1	1
 	 	 	19	tante	tante	1784	6	2	2	2	tant@	tant@	6	2
 	 	 	20	as	Asche	901	1	1	1	1	as	aS@	1	1
 	misdaad	 	21	misdaad	verbrechen	1586	1	1	3	4	mIsda:t	fE6bRECn	1	1
 	voet	 	22	voet	fuß	901	1	1	1	1	vut	fu:s	1	1
 	 	vriend	23	vriendin	freundin	1201	1	1	2	2	vrindIn	fROjndIn	1	1
 	 	middag	24	namiddag	nachmittag	901	1	1	2	2	na:mIdax	na:xmIta:k	1	1
 	rechter!	 	25	rechter!	richter	1201	1	1	2	2	rExt@r	rICt6	1	1
 	onderhandeling	handelen	26	onderhandeling	verhandlung	1236	1	1	2	1	Ond@rhand@lIN	fE6handlUN	1	1
 	afgevaardigde	 	27	afgevaardigde	delegierte	1552	1	1	2	1	afx@va:rd@Gd@	delegi:6t@	2	2
 	pers!	 	28	pers	presse	1284	6	2	1	1	pErs	pREs@	2	2
 	 	 	29	pensioen	pension	1391	6	2	1	1	pEnsjun	paNzjo:n	6	2
 	 	 	30	materiaal	material	1545	6	2	1	1	materia:l	materja:l	2	2
 	 	 	31	dijk	deich	1156	1	1	1	1	dEjk	dajC	1	1
 	 	 	32	ring	ring	901	1	1	1	1	rIN	rIN	1	1
 	 	 	33	regen	regen	901	1	1	1	1	re:G@n	re:gn	1	1
 	 	 	34	hek	zaun	1343	1	1	2	3	hEk	tsawn	1	1
 	hoeveelheid!	 	35	hoeveelheid	menge	1599	1	1	2	1	huve:lhEjt	mEN@	1	1
 	 	 	36	touw	seil	1286	1	1	2	3	taw	zajl	1	1
 	organisatie	organiseren	37	organisatie	organisation	1786	6	2	1	1	OrGaniza:tsi	O6ganizatsjo:n	6	2
 	gemeenschap	gemeente	38	gemeenschap	gemeinschaft	1260	1	1	2	2	G@me:nsxap	g@majnSaft	1	1
 	evenwicht	 	39	balans	balance	1806	6	2	1	1	balans	bala~s	6	2
 	piek	 	40	top	spitze	1287	1	1	1	2	tOp	SpIts@	1	1
 	verbranding	branden	41	verbranding	verbrennung	1445	1	1	1	1	v@rbrandIN	fE6bREnUN	1	1
 	haven	 	42	haven	hafen	1201	1	1	1	1	ha:v@n	ha:fn	1	1
 	 	 	43	bloed	blut	901	1	1	1	1	blut	blu:t	1	1
 	 	 	44	garage	garage	901	6	9	1	1	Gara:Z@	gaRa:Z@	6	9
 	 	 	45	blok	block	1242	1	1	1	1	blOk	blOk	1	1
 	informatie	 	46	informatie	information	1451	6	2	1	1	InfOrma:tsi	InfO6matsjo:n	2	2
 	 	 	47	pijn	schmerz	1236	2	3	2	1	pEjn	SmE6ts	1	1
 	paragraaf	 	48	paragraaf	paragraph	1393	6	3	1	1	paraGra:f	paRagRa:f	2	3
 	 	land	49	buitenland	ausland	1200	1	1	2	3	b9jt@nlant	awslant	1	1
 	stap	stappen	50	stap	schritt	1350	1	1	3	1	stap	SRIt	1	1
 	auto!	 	51	auto	auto	1899	6	3	2	2	awto:	awto:	6	3
 	groei	groeien	52	groei	wachstum	1100	1	1	3	4	Gruj	v\akstu:m	1	1
 	vlag	 	53	vlag	flagge	1415	1	1	1	1	vlax	flag@	1	1
 	voorbereiding	 	54	voorbereiding	vorbereitung	1285	1	1	3	3	vo:rb@rEjdIN	fo:6b@RajtUN	1	1
 	eiland	 	55	eiland	insel	1201	5	1	2	3	Ejlant	Inzl	2	2
 	succes	 	56	succes	erfolg	1619	6	2	1	2	syksEs	E6fOlk	1	1
 	identiteit	 	57	identiteit	identität	1824	6	2	1	1	idEntitEjt	idEntitE:t	2	2
 	kennis	 	58	kennis	kenntnis	1260	1	1	2	2	kEn@s	kEntnIs	1	1
 	 	 	59	bak	kasten	1285	6	2	2	1	bak	kastn	9	9
 	 	 	60	film	film	1901	7	1	1	1	fIlm	fIlm	7	1
 	 	dichten	61	gedicht	gedicht	1350	2	2	1	1	G@dIxt	g@dICt	2	2
 	ziekte	 	62	ziekte	krankheit	1343	1	1	2	3	zikt@	kRaNkhajt	9	9
 	oorlog	 	63	oorlog	krieg	1201	1	1	2	1	o:rlOx	kRi:k	9	9
 	geslacht!	 	64	geslacht	geschlecht	1201	1	1	2	2	G@slaxt	g@SlECt	1	1
 	 	 	65	rook	rauch	901	1	1	1	1	ro:k	Rawx	1	1
 	bestrijding	strijd	66	bestrijding	bestreitung	1220	1	1	2	2	b@strEjdIN	b@StRajtUN	1	1
 	 	 	67	ruimte	raum	1564	1	1	2	1	r9jmt@	rawm	1	1
 	 	 	68	zaal	saal	1237	1	1	1	1	za:l	za:l	1	1
 	water	 	69	water	wasser	901	1	1	1	1	v\a:t@r	v\as6	1	1
 	 	 	70	slang	schlange	901	1	1	1	1	slaN	SlaN@	1	1
 	 	 	71	tuin	garten	901	1	1	3	4	t9jn	ga6tn	1	1
 	 	 	72	vleugel	Flügel	1201	1	1	2	2	vl2:G@l	fly:gl	1	1
 	commissaris	 	73	commissaris	kommissar	1353	2	2	1	1	kOm@sa:r@s	kOmIsa:6	2	2
 	verslag	 	74	rapport	rapport	1476	6	2	1	1	rapOrt	RapO6t	6	2
 	argument	 	75	argument	argument	1265	6	2	1	1	arGymEnt	a6gumEnt	2	2
 	 	 	76	boom	baum	1220	1	1	2	2	bo:m	bawm	1	1
 	ontwikkeling	ontwikkelen	77	ontwikkeling	entwicklung	1679	1	1	2	2	Ontv\Ik@lIN	Entv\IklUN	1	1
 	verwijzing	wijzen	78	verwijzing	verweisung	901	1	1	2	2	v@rv\EjzIN	fE6v\ajzUN	1	1
 	parlement	 	79	parlement	parlament	1265	6	2	1	1	parl@mEnt	pa6lamEnt	6	2
 	 	 	80	september	september	1201	2	2	1	1	sEptEmb@r	zEptEmb6	2	2
 	 	 	81	omgeving	umgebung	1825	8	1	2	2	OmGe:vIN	Umge:bUN	1	1
 	 	 	82	hotel	hotel	1626	6	2	1	1	hotEl	hotEl	6	2
 	 	 	83	bibliotheek	bibliothek	1552	2	3	1	1	bibliote:k	bibliote:k	2	3
 	 	 	84	college	kolleg	1450	6	2	2	2	kOle:Z@	kOle:k	2	2
 	kans	 	85	kans	chance	1350	6	2	1	1	kans	Sa~:s@	6	2
 	 	 	86	keuken	küche	1236	2	2	1	1	k2:k@n	kYC@	2	2
 	definitie	 	87	definitie	definition	1650	6	2	1	1	definitsi	definitsjo:n	2	2
 	gedachte	 	88	gedachte	gedanke	901	1	1	2	2	G@daxt@	g@daNk@	1	1
 	betoog	 	89	redenering	darlegung	1236	1	1	2	4	re:d@ne:rIN	da:6le:gUN	1	1
 	ervaring	 	90	ervaring	erfahrung	1420	1	1	1	1	Erva:rIN	E6fa:RUN	1	1
 	 	 	91	fout	fehler	1265	6	2	2	1	fawt	fe:l6	6	2
 	 	 	92	doos	dose	1361	2	3	2	2	do:s	do:z@	2	3
 	niveau	 	93	niveau	niveau	1847	6	2	1	1	nivo:	niv\o:	6	2
 	 	 	94	cursus	kurs	1804	2	2	1	2	kYrzYs	kU6s	2	2
 	armoede	 	95	armoede	armut	901	1	 	2	2	armud@	a6mu:t	1	1
 	producent	produceer	96	producent	produzent	1370	2	2	1	1	prodysEnt	pRodutsEnt	2	2
