ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID
434	german	I	ich	ɪx	ɪ x		1069
435	french	I	je	ʒə	ʒ ə		1069
436	french	I	moi	mwɑ	m w ɑ		6010
437	dutch	I	ik	ɪk	ɪ k		1069
438	english	I	I	aɪ	aɪ		1069
2148	german	account, reckoning	Rechnung	rɛxnʊŋ	r ɛ x n ʊ ŋ		181
2149	french	account, reckoning	compte	kɔ̃t	k ɔ̃ t		183
2150	dutch	account, reckoning	rekening	reːkənɪŋ	r eː k ə n ɪ ŋ		181
2151	english	account, reckoning	bill	bɪl	b ɪ l		182
219	german	air	Luft	lʊft	l ʊ f t		758
220	french	air	air	ɛʀ	ɛ ʀ		759
221	dutch	air	lucht	lʉxt	l ʉ x t		758
222	english	air	air	ɛər	ɛ ə r		-759
458	german	animal	Tier	tiːr	t iː r		122
459	french	animal	animal	animal	a n i m a l		123
460	french	animal	bête	bɛːt	b ɛː t		124
461	dutch	animal	dier	diːr	d iː r		122
462	dutch	animal	beest	beːst	b eː s t		-124
463	english	animal	animal	ænɪmḷ	æ n ɪ m l̩		-123
879	german	ankle	Knöchel	knœxəl	k n œ x ə l		1236
880	french	ankle	cheville	ʃəvij	ʃ ə v i j		1238
881	dutch	ankle	enkel	ɛŋkəl	ɛ ŋ k ə l		1237
882	english	ankle	ankle	æŋkḷ	æ ŋ k l̩		1237
1534	german	arch	Bogen	boːɡən	b oː ɡ ə n		280
1535	german	arch	Wölbung	vœlbʊŋ	v œ l b ʊ ŋ		283
1536	french	arch	arche	aʀʃ	a ʀ ʃ		282
1537	dutch	arch	boog	boːx	b oː x		280
1538	english	arch	arch	ɑːʧ	ɑː tʃ		-281
833	german	armpit	Achselhöhle	aksəl-hɶːlə	a k s ə l + h ɶː l ə		575
834	french	armpit	aisselle	ɛsɛl	ɛ s ɛ l		575
835	dutch	armpit	oksel	ɔksəl	ɔ k s ə l		575
836	english	armpit	armpit	ɑːm-pɪt	ɑː m + p ɪ t		574
379	german	aunt	Tante	tantə	t a n t ə		-2027
380	french	aunt	tante	tɑ̃t	t ɑ̃ t		2027
381	dutch	aunt	tante	tɑntə	t ɑ n t ə		-2027
382	english	aunt	aunt	ɑːnt	ɑː n t		-2027
749	german	back	rücken	rʏkən	r ʏ k ə n		1821
750	french	back	dos	do	d o		1823
751	dutch	back	rug	rʉx	r ʉ x		1821
752	english	back	back	bæk	b æ k		1822
1118	german	bald	kahl	kaːl	k aː l		1144
1119	french	bald	chauve	ʃov	ʃ o v		1146
1120	dutch	bald	kaal	kaːl	k aː l		1144
1121	english	bald	bald	bɔːld	b ɔː l d		1145
1684	german	bark	Rinde	rɪndə	r ɪ n d ə		715
1685	german	bark	Borke	bɔrkə	b ɔ r k ə		716
1686	french	bark	écorce	ekɔʀs	e k ɔ ʀ s		717
1687	dutch	bark	bast	bɑst	b ɑ s t		718
1688	english	bark	bark	bɑːk	b ɑː k		716
1626	german	barley	Gerste	ɡɛrstə	ɡ ɛ r s t ə		1300
1627	french	barley	orge	ɔʀʒ	ɔ ʀ ʒ		1302
1628	dutch	barley	gerst	xɛrst	x ɛ r s t		1300
1629	english	barley	barley	bɑːlɪ	b ɑː l ɪ		1301
1290	german	bean	Bohne	boːnə	b oː n ə		34
1291	french	bean	haricot	aʀiko	a ʀ i k o		35
1292	dutch	bean	boon	boːn	b oː n		34
1293	english	bean	bean	biːn	b iː n		34
715	german	beard	Bart	baːrt	b aː r t		1198
716	french	beard	barbe	baʀb	b a ʀ b		1198
717	dutch	beard	baard	baːrt	b aː r t		1198
718	english	beard	beard	bɪəd	b ɪ ə d		1198
1496	german	bed	Bett	bɛt	b ɛ t		922
1497	french	bed	lit	li	l i		923
1498	dutch	bed	bed	bɛt	b ɛ t		922
1499	english	bed	bed	bɛd	b ɛ d		922
1663	german	beech	Buche	buːxə	b uː x ə		70
1664	french	beech	hêtre	ɛtʀ	ɛ t ʀ		71
1665	dutch	beech	beuk	bøːk	b øː k		70
1666	english	beech	beech	biːʧ	b iː tʃ		70
997	german	beget (of father)	zeugen	ʦɔyɡən	ts ɔy ɡ ə n		331
998	french	beget (of father)	engendrer	ɑ̃ʒɑ̃dʀe	ɑ̃ ʒ ɑ̃ d ʀ e		333
999	dutch	beget (of father)	verwekken	vər-wɛkə	v ə r + w ɛ k ə		334
1000	english	beget (of father)	beget	bɪɡɛt	b ɪ ɡ ɛ t		332
2135	german	beggar	Bettler	bɛtlər	b ɛ t l ə r		1789
2136	french	beggar	mendiant	mɑ̃djɑ̃	m ɑ̃ d j ɑ̃		1790
2137	dutch	beggar	bedelaar	beːdəlaːr	b eː d ə l aː r		1789
2138	english	beggar	beggar	bɛɡər	b ɛ ɡ ə r		6200
2190	german	behind	Platz	plaʦ	p l a ts		-2284
2191	french	behind	place	plas	p l a s		2284
2192	dutch	behind	plaats	plaːʦ	p l aː ts		-2284
2193	english	behind	place	pleɪs	p l eɪ s		-2284
1706	german	bend	beugen	bɔyɡən	b ɔy ɡ ə n		296
1707	french	bend	plier	plije	p l i j e		298
1708	french	bend	courber	kuʀbe	k u ʀ b e		299
1709	dutch	bend	buigen	bœyɣə	b œy ɣ ə		296
1710	english	bend	bend	bɛnd	b ɛ n d		297
1327	german	beverage, drink	Getränk	ɡə-trɛŋk	ɡ ə + t r ɛ ŋ k		480
1328	french	beverage, drink	boisson	bwasɔ̃	b w a s ɔ̃		481
1329	dutch	beverage, drink	drank	drɑŋk	d r ɑ ŋ k		480
1330	english	beverage, drink	drink	drɪŋk	d r ɪ ŋ k		480
566	german	bird	Vogel	foːɡəl	f oː ɡ ə l		166
567	french	bird	oiseau	wazo	w a z o		168
568	dutch	bird	vogel	voːɣəl	v oː ɣ ə l		166
569	english	bird	bird	bɜːd	b ɜː d		167
1500	german	blanket	Decke	dɛkə	d ɛ k ə		672
1501	french	blanket	couverture	kuvɛʀtyʀ	k u v ɛ ʀ t y ʀ		674
1502	dutch	blanket	deken	deːkə	d eː k ə		672
1503	english	blanket	blanket	blæŋkɪt	b l æ ŋ k ɪ t		673
1130	german	blind	blind	blɪnt	b l ɪ n t		278
1131	french	blind	aveugle	avœɡl	a v œ ɡ l		279
1132	dutch	blind	blind	blɪnt	b l ɪ n t		278
1133	english	blind	blind	blaɪnd	b l aɪ n d		278
787	german	blink	blinzeln	blɪnʦəln	b l ɪ n ts ə l n		6019
788	french	blink	cligner	kliɲe	k l i ɲ e		252
789	dutch	blink	knipperen	knɪpərə	k n ɪ p ə r ə		253
790	english	blink	blink	blɪŋk	b l ɪ ŋ k		251
1082	german	blister	Blase	blaːzə	b l aː z ə		531
1083	french	blister	ampoule	ɑ̃pul	ɑ̃ p u l		532
1084	dutch	blister	blaar	blaːr	b l aː r		6024
1085	english	blister	blister	blɪstər	b l ɪ s t ə r		6025
723	german	blood	Blut	bluːt	b l uː t		1811
724	french	blood	sang	sɑ̃	s ɑ̃		1812
725	dutch	blood	bloed	bluːt	b l uː t		1811
726	english	blood	blood	blʌd	b l ʌ d		1811
1955	german	blow	blasen	blaːzən	b l aː z ə n		1075
1956	french	blow	souffler	sufle	s u f l e		1076
1957	dutch	blow	blazen	blaːzə	b l aː z ə		1075
1958	english	blow	blow	bləʊ	b l əʊ		1075
697	german	body	Leib	laip	l ai p		1981
698	german	body	Körper	kœrpər	k œ r p ə r		-1983
699	french	body	corps	kɔʀ	k ɔ ʀ		1983
700	dutch	body	lichaam	lɪxaːm	l ɪ x aː m		1984
701	english	body	body	bɔdɪ	b ɔ d ɪ		1982
1086	german	boil (noun)	Furunkel	fuːrʊŋkəl	f uː r ʊ ŋ k ə l		-533
1087	french	boil (noun)	furoncle	fyʀɔ̃kl	f y ʀ ɔ̃ k l		533
1088	dutch	boil (noun)	steenpuist	steːmpœyst	s t eː m p œy s t		535
1089	english	boil (noun)	boil	bɔɪl	b ɔ ɪ l		534
733	german	bone	Knochen	knɔxən	k n ɔ x ə n		1817
734	french	bone	os	ɔs	ɔ s		1819
735	dutch	bone	bot	bɔt	b ɔ t		1820
736	english	bone	bone	bəʊn	b əʊ n		1818
1394	german	boot	Stiefel	ʃtiːfəl	ʃ t iː f ə l		1190
1395	french	boot	botte	bɔt	b ɔ t		1191
1396	dutch	boot	laars	laːrs	l aː r s		1192
1397	english	boot	boot	-buːt	b uː t		1191
1811	german	bore	bohren	boːrən	b oː r ə n		648
1812	french	bore	perforer	pɛʀfɔʀe	p ɛ ʀ f ɔ ʀ e		649
1813	dutch	bore	boren	boːrə	b oː r ə		648
1814	english	bore	bore	bɔːr	b ɔː r		648
2246	german	bottom	Boden	boːdən	b oː d ə n		659
2247	french	bottom	fond	fɔ̃	f ɔ̃		660
2248	dutch	bottom	bodem	boːdəm	b oː d ə m		659
2249	english	bottom	bottom	bɔtəm	b ɔ t ə m		659
1208	german	bowl	Napf	nap͡f	n a pf		1329
1209	german	bowl	Schale	ʃaːlə	ʃ aː l ə		1332
1210	french	bowl	bol	bɔl	b ɔ l		1330
1211	dutch	bowl	kom	kɔm	k ɔ m		1331
1212	english	bowl	bowl	bəʊl	b əʊ l		-1330
292	german	boy	Junge	jʊŋə	j ʊ ŋ ə		116
293	german	boy	Knabe	knaːbə	k n aː b ə		119
294	french	boy	garçon	ɡaʀsɔ̃	ɡ a ʀ s ɔ̃		118
295	dutch	boy	jongen	jɔŋə	j ɔ ŋ ə		116
296	english	boy	boy	bɔɪ	b ɔ ɪ		117
1424	german	bracelet	Armband	arm-bant	a r m + b a n t		205
1425	french	bracelet	bracelet	bʀaslɛ	b ʀ a s l ɛ		206
1426	dutch	bracelet	armband	ɑrm-bɑnt	ɑ r m + b ɑ n t		205
1427	english	bracelet	bracelet	breɪslɪt	b r eɪ s l ɪ t		-206
762	german	brain	Gehirn	ɡə-hɪrn	ɡ ə + h ɪ r n		1857
763	french	brain	cerveau	sɛʀvo	s ɛ ʀ v o		1859
764	dutch	brain	hersenen	hɛrsənə	h ɛ r s ə n ə		1860
765	english	brain	brain	breɪn	b r eɪ n		1858
1650	german	branch	Zweig	ʦvaik	ts v ai k		1991
1651	french	branch	branche	bʀɑ̃ʃ	b ʀ ɑ̃ ʃ		1992
1652	dutch	branch	tak	tɑk	t ɑ k		6036
1653	english	branch	branch	brɑːnʧ	b r ɑː n tʃ		-1992
1261	german	bread	Brot	broːt	b r oː t		655
1262	french	bread	pain	pɛ̃	p ɛ̃		656
1263	dutch	bread	brood	broːt	b r oː t		655
1264	english	bread	bread	brɛd	b r ɛ d		655
1743	german	break	brechen	brɛxən	b r ɛ x ə n		1930
1744	french	break	casser	kase	k a s e		1931
1745	french	break	briser	bʀize	b ʀ i z e		6041
1746	dutch	break	breken	breːkə	b r eː k ə		1930
1747	english	break	break	breɪk	b r eɪ k		1930
900	german	breast (of woman)	Brust	brʊst	b r ʊ s t		937
901	french	breast (of woman)	sein	sɛ̃	s ɛ̃		938
902	french	breast (of woman)	poitrine	pwatʀin	p w a t ʀ i n		939
903	dutch	breast (of woman)	borst	bɔrst	b ɔ r s t		937
904	english	breast (of woman)	breast	brɛst	b r ɛ s t		937
946	german	breathe, breath	atmen	aːtmən	aː t m ə n		1548
947	french	breathe, breath	respirer	ʀɛspiʀe	ʀ ɛ s p i ʀ e		1550
948	dutch	breathe, breath	ademen	aːdəmə	aː d ə m ə		1548
949	english	breathe, breath	breathe	briːð	b r iː ð		1549
1543	german	brick	Backstein	bak-ʃtain	b a k + ʃ t ai n		52
1544	french	brick	brique	bʀik	b ʀ i k		51
1545	dutch	brick	baksteen	bɑk-steːn	b ɑ k + s t eː n		52
1546	english	brick	brick	brɪk	b r ɪ k		51
2037	german	bridge	Brücke	brʏkə	b r ʏ k ə		790
2038	french	bridge	pont	pɔ̃	p ɔ̃		791
2039	dutch	bridge	brug	brʉx	b r ʉ x		790
2040	english	bridge	bridge	brɪʤ	b r ɪ dʒ		790
2007	german	bring	bringen	brɪŋən	b r ɪ ŋ ə n		1434
2008	french	bring	amener	amne	a m n e		1437
2009	dutch	bring	brengen	brɛŋə	b r ɛ ŋ ə		1434
2010	english	bring	bring	brɪŋ	b r ɪ ŋ		1434
1748	german	broken	gebrochen	ɡə-brɔxən	ɡ ə + b r ɔ x ə n		53
1749	french	broken	brisé	bʀiz	b ʀ i z		54
1750	french	broken	cassé	kase	k a s e		56
1751	dutch	broken	kapot	kaːpɔt	k aː p ɔ t		55
1752	dutch	broken	stuk	stʉk	s t ʉ k		57
1753	english	broken	broken	brəʊkən	b r əʊ k ə n		53
1068	german	bruise	Quetschung	kvɛʧʊŋ	k v ɛ tʃ ʊ ŋ		521
1069	french	bruise	contusion	kɔ̃tyzjɔ̃	k ɔ̃ t y z j ɔ̃		523
1070	french	bruise	bleu	blø	b l ø		524
1071	dutch	bruise	kneuzing	knøːzɪŋ	k n øː z ɪ ŋ		6023
1072	english	bruise	bruise	bruːz	b r uː z		522
1436	german	brush	Bürste	bʏrstə	b ʏ r s t ə		2166
1437	french	brush	brosse	bʀɔs	b ʀ ɔ s		2167
1438	dutch	brush	borstel	bɔrstəl	b ɔ r s t ə l		2166
1439	english	brush	brush	brʌʃ	b r ʌ ʃ		-2167
1806	german	build	bauen	bauən	b au ə n		642
1807	french	build	bâtir	bɑtiʀ	b ɑ t i ʀ		644
1808	french	build	construire	kɔ̃stʀɥiʀ	k ɔ̃ s t ʀ ɥ i ʀ		645
1809	dutch	build	bouwen	bɑuwə	b ɑu w ə		642
1810	english	build	build	bɪld	b ɪ l d		643
478	german	bull	stier	ʃtiːr	ʃ t iː r		2183
479	german	bull	Bulle	bʊlə	b ʊ l ə		2184
480	french	bull	taureau	tɔʀo	t ɔ ʀ o		2183
481	dutch	bull	stier	stiːr	s t iː r		2183
482	english	bull	bull	bʊl	b ʊ l		-2184
1026	german	bury (the dead)	begraben	bə-ɡraːbən	b ə + ɡ r aː b ə n		340
1027	german	bury (the dead)	beerdigen	bə.-eːrdɪɡən	b ə + eː r d ɪ ɡ ə n		342
1028	french	bury (the dead)	enterrer	ɑ̃teʀe	ɑ̃ t e ʀ e		341
1029	dutch	bury (the dead)	begraven	bə-ɣraːvə	b ə + ɣ r aː v ə		340
1030	english	bury (the dead)	bury	bɛrɪ	b ɛ r ɪ		6022
1323	german	butter	Butter	bʊtər	b ʊ t ə r		1676
1324	french	butter	beurre	bœʀ	b œ ʀ		1677
1325	dutch	butter	boter	boːtər	b oː t ə r		1676
1326	english	butter	butter	bʌtər	b ʌ t ə r		1676
685	german	butterfly	Schmetterling	ʃmɛtərlɪŋ	ʃ m ɛ t ə r l ɪ ŋ		794
686	french	butterfly	papillon	papijɔ̃	p a p i j ɔ̃		796
687	dutch	butterfly	vlinder	vlɪndər	v l ɪ n d ə r		797
688	english	butterfly	butterfly	bʌtəflaɪ	b ʌ t ə f l aɪ		795
937	german	buttocks	Gesäß	ɡə-zɛːs	ɡ ə + z ɛː s		1593
938	french	buttocks	derrière	dɛʀjɛʀ	d ɛ ʀ j ɛ ʀ		1595
939	dutch	buttocks	billen	bɪlə	b ɪ l ə		1596
940	english	buttocks	buttocks	bʌtəks	b ʌ t ə k s		1594
941	english	buttocks	arse	ɑːs	ɑː s		1597
1412	german	button	Knopf	knɔp͡f	k n ɔ pf		1799
1413	french	button	bouton	butɔ̃	b u t ɔ̃		1800
1414	dutch	button	knoop	knoːp	k n oː p		1799
1415	english	button	button	bʌtṇ	b ʌ t n̩		-1800
2166	german	buy	kaufen	kaufən	k au f ə n		232
2167	french	buy	acheter	aʃte	a ʃ t e		234
2168	dutch	buy	kopen	koːpə	k oː p ə		232
2169	english	buy	buy	baɪ	b aɪ		233
492	german	calf	Kalb	kalp	k a l p		2199
493	french	calf	veau	vo	v o		2200
494	dutch	calf	kalf	kɑlf	k ɑ l f		2199
495	english	calf	calf	kɑːf	k ɑː f		2199
867	german	calf of leg	Wade	vaːdə	v aː d ə		263
868	french	calf of leg	mollet	mɔlɛ	m ɔ l ɛ		265
869	dutch	calf of leg	kuit	kœyt	k œy t		266
870	english	calf of leg	calf	kɑːf	k ɑː f		264
70	german	calm (of sea)	Meeresstille	meːrəs-ʃtɪlə	m eː r ə s + ʃ t ɪ l ə		1835
71	french	calm (of sea)	étale	etale	e t a l e		1837
72	dutch	calm (of sea)	kalm	kɑlm	k ɑ l m		1836
73	dutch	calm (of sea)	rustig	rʉstəx	r ʉ s t ə x		1838
74	english	calm (of sea)	calm	kɑːm	k ɑː m		1836
1512	german	candle	Kerze	keːrʦə	k eː r ts ə		931
1513	french	candle	chandelle	ʃɑ̃dɛl	ʃ ɑ̃ d ɛ l		933
1514	dutch	candle	kaars	kaːrs	k aː r s		931
1515	english	candle	candle	kændḷ	k æ n d l̩		-933
1802	german	carpenter	Zimmermann	ʦɪmər-man	ts ɪ m ə r + m a n		652
1803	french	carpenter	charpentier	ʃaʀpɑ̃tje	ʃ a ʀ p ɑ̃ t j e		654
1804	dutch	carpenter	timmerman	tɪmər-mɑn	t ɪ m ə r + m ɑ n		652
1805	english	carpenter	carpenter	kɑːpəntər	k ɑː p ə n t ə r		-654
2003	german	carry (bear)	tragen	traːɡən	t r aː ɡ ə n		1431
2004	french	carry (bear)	porter	pɔʀte	p ɔ ʀ t e		1433
2005	dutch	carry (bear)	dragen	draːɣə	d r aː ɣ ə		1431
2006	english	carry (bear)	carry	kærɪ	k æ r ɪ		1432
1884	german	carve	meißeln	maisəln	m ai s ə l n		2255
1885	french	carve	sculpter	skylte	s k y l t e		2254
1886	dutch	carve	kerven	kɛrvə	k ɛ r v ə		2253
1887	english	carve	carve	kɑːv	k ɑː v		2253
1842	german	cast (metals)	gießen	ɡiːsən	ɡ iː s ə n		1644
1843	french	cast (metals)	mouler	mule	m u l e		1646
1844	french	cast (metals)	couler	kule	k u l e		1646
1845	dutch	cast (metals)	gieten	xiːtə	x iː t ə		1644
1846	english	cast (metals)	cast	kɑːst	k ɑː s t		1645
1935	german	catch (ball)	fangen	faŋən	f a ŋ ə n		630
1936	french	catch (ball)	attraper	atʀape	a t ʀ a p e		632
1937	dutch	catch (ball)	vangen	vɑŋə	v ɑ ŋ ə		630
1938	english	catch (ball)	catch	kæʧ	k æ tʃ		631
474	german	cattle (bovine)	Rindvieh	rɪnt-fiː	r ɪ n t + f iː		1848
475	french	cattle (bovine)	bétail	betaj	b e t a j		1850
476	dutch	cattle (bovine)	rund	rʉnt	r ʉ n t		1848
477	english	cattle (bovine)	cattle	kætḷ	k æ t l̩		1849
1504	german	chair	Stuhl	ʃtuːl	ʃ t uː l		919
1505	french	chair	chaise	ʃɛz	ʃ ɛ z		921
1506	dutch	chair	stoel	stuːl	s t uː l		919
1507	english	chair	chair	ʧɛər	tʃ ɛ ə r		920
