German_Word,Dutch_Word,English_Word,Similarity_German_Dutch,Similarity_German_English,Similarity_Dutch_English
weib,wijf,wife,0.6872011815944008,0.7684627344806558,0.4857949323188433
korn,koren,corn,0.8568410855611777,0.6945286702837117,0.8358516206728571
heim,heem,home,0.6541265878337517,0.8804793595644537,0.6585622357045112
trinken,drinken,drink,0.9440837686514117,0.9527261037198156,0.9394839387210877
busen,boezem,bosom,0.8278882662333275,0.8813173106731486,0.7675365991114411
sterz,staart,start,0.5256017269669421,0.010300077116303619,0.04367199068805813
bock,bok,buck,0.6567028664588104,0.6260855183650307,0.5994394545876386
mark,mark,march,0.546019910306094,0.20372070652992388,0.3455034182273019
taube,dove,dove,0.4303197371490699,0.8643206567836864,0.2757864923218256
durst,dorst,thirst,0.9093607842323447,0.9696298232576488,0.9016811476068022
sporn,spoor,spur,0.40284181372960554,0.8951999998444493,0.437035029983574
meinen,menen,mean,0.8532704167920704,0.5273032705412993,0.5428421420477939
name,naam,name,0.9087772424050542,0.9094325155319588,0.9119543203140494
erde,aarde,earth,0.9047125953521781,0.8709363226496601,0.888789156253928
hauen,houwen,hew,0.6250935429236392,0.5166654757098011,0.8563810941452159
grund,grond,ground,0.6529982766419374,0.35757197795819823,0.744299934130405
suchen,zoeken,seek,0.9022997531865031,0.803623642471065,0.7929018078455472
herz,hart,heart,0.8787703729379939,0.9243034170959067,0.8986104547662938
vieh,vee,fee,0.8948533722656611,0.02808098405675865,0.04271364370803214
leim,lijm,lime,0.9064942942422206,0.18933059871839902,0.13340513790679892
nadel,naald,needle,0.9435694895872692,0.9035116444107784,0.8942775484708179
mahr,nachtmerrie,nightmare,0.6752166784132693,0.6382026474517104,0.9424507937772074
graben,graven,grave,0.8138487591565436,0.48625646391161315,0.5645286434672729
sache,zaak,sake,0.5817699990227087,0.08209308000234762,0.08824390339408991
fechten,vechten,fight,0.6301335137530069,0.5961164735065734,0.9559843676791054
reiten,rijden,ride,0.6802039007245645,0.796023973784599,0.8139433524333478
sieben,zeven,seven,0.9560350960611225,0.9114205981722268,0.8974075445415407
spindel,spil,spindle,0.5841390359632478,0.8892169824593867,0.549628415746367
rabe,raaf,raven,0.9562228981341891,0.9434306535760041,0.9452030883951972
heilen,helen,heal,0.8622634933741475,0.9141641665291347,0.8771830830264484
kalb,kalf,calf,0.865978190192895,0.9043393453798982,0.8677607237483623
witwe,weduwe,widow,0.9681801190366541,0.9801640239239525,0.9754886577499131
gang,gang,gang,0.8331911804388841,0.4436849390360248,0.19885790700907985
fahren,varen,fare,0.5765225133945387,0.3871363675525974,0.40729072015512746
schwert,zwaard,sword,0.9563978251138127,0.9566292807450483,0.9454568331107362
leber,lever,liver,0.9175387739699769,0.9548973319039148,0.9082564414850318
wille,wil,will,0.8202710013408032,0.7376952852061677,0.6156785397338833
berg,berg,barrow,0.9060737302388042,0.22241621880401677,0.193684933658861
drei,drie,three,0.9570500824145405,0.966672828306912,0.9575666787600408
wort,woord,word,0.8506348042138424,0.8038114734776577,0.8977777341557253
mal,maal,meal,0.5189047529589249,0.11543963215695414,0.7086616469347436
greifen,grijpen,gripe,0.8935102627891486,0.1850037504375379,0.17096544401973682
fallen,vallen,fall,0.8690876937606459,0.8387110827041341,0.7818143959400883
haupt,hoofd,head,0.8603139545510303,0.7084818301768812,0.8145475205868395
leid,leed,loath,0.8662935489576773,0.1663396024513786,0.1141640930306874
beere,bes,berry,0.7971469445682664,0.890462570611939,0.8091819256836048
glauben,geloven,believe,0.8934499364732525,0.9128661461029108,0.8664719148825349
winter,winter,winter,0.9553871740034358,0.9748648353272794,0.9637407414393007
braut,bruid,bride,0.9512910922703447,0.9397224510952461,0.9548586338764633
spinnen,spinnen,spin,0.8178095556307039,0.7002360139824642,0.6291029120519882
schild,schild,shield,0.8081154801202262,0.6921406490187985,0.821107127508979
ball,bal,ball,0.9118639917432648,0.9038320139348855,0.9191021737840933
nest,nest,nest,0.8048355791577102,0.9370073395909175,0.7750077631474804
sterben,sterven,starve,0.9404615650071585,0.4857073429787496,0.45989636863567035
neun,negen,nine,0.9657412420614557,0.9794318870724253,0.9642083353860736
zapfen,tap,tap,0.5830622877861962,0.5237454662847217,0.7045779362802034
salbe,zalf,salve,0.9596806721939298,0.8867131322627814,0.8839281069056372
hund,hond,hound,0.8470327494904866,0.7783520963302086,0.6542602574572869
fuchs,vos,fox,0.9270640803004984,0.9247854355199433,0.9123516979261417
denken,denken,think,0.8963153417641669,0.8754070321671067,0.9088647080248429
dank,dank,thanks,0.9158749697399865,0.8998673462908809,0.8484161695564404
streuen,strooien,strew,0.846844248960051,0.8409671952348252,0.8105607371121869
vier,vier,four,0.9683226809296277,0.9690434843294101,0.9694152723457268
speer,speer,spear,0.9540996633896079,0.8826866844281134,0.8917403143710877
lauge,loog,lye,0.7285263276095832,0.8785265682357429,0.7495642016866493
honig,honing,honey,0.9467189877019542,0.9429769780428295,0.9324135379768027
bohren,boren,bore,0.909376742103235,0.6450764240920525,0.593269158808335
hecke,heg,hedge,0.9276836252118985,0.8935001597528979,0.9002631615381433
geburt,geboorte,birth,0.879575508217244,0.9237476673309223,0.913090017710836
hand,hand,hand,0.8976591618844856,0.8829898719271013,0.915243759776067
traum,droom,dream,0.961321022544005,0.9672862958737092,0.963202161660417
laden,laden,lade,0.5182362660642829,0.23773307893631845,0.5828013992112131
tier,dier,deer,0.7348348849472652,0.4376908028543583,0.3912936005560635
wal,wal,whale,0.47077629980253355,0.960052530622251,0.4566607034053551
span,spaan,spoon,0.5703413126232767,0.19688539537767477,0.4105391426713338
tausend,duizend,thousand,0.9595280429142307,0.9651249952944086,0.9825863689210828
nabel,navel,navel,0.9189307009304015,0.8957215965842454,0.9473668627571277
hammer,hamer,hammer,0.9265471153608525,0.9234506720746741,0.9498443604784121
falten,vouw,fold,0.7737386711065338,0.8574387812244757,0.7734342509188746
stelze,stelt,stilt,0.692981615792957,0.7818161197797484,0.742144929744863
frost,vorst,frost,0.32784066062775424,0.8976798744659232,0.33760637965245033
stehlen,stelen,steal,0.9460753909362762,0.9309768454264842,0.9225716294093695
farn,varen,fern,0.3847815519796801,0.8984133451516381,0.3971121576919643
netz,net,net,0.36920588775930635,0.8050012378430884,0.36198950002142904
bahre,baar,bier,0.45143913352703574,0.6923511988863041,0.3617856547207062
hilfe,hulp,help,0.92687768519907,0.8702603623185123,0.8121183195395633
not,nood,need,0.8506371443462296,0.4560110470733478,0.5282465638233073
hinde,hinde,hind,0.8952612915268211,0.7469571709742769,0.7244033875515653
hasel,hazelaar,hazel,0.8238428706636396,0.8042702868056951,0.9481382219021042
strang,streng,string,0.17734397464086876,0.5120182485105174,0.24497966710901015
raum,ruim,room,0.3928778333410221,0.7193560236357415,0.2853307177141169
brechen,breken,break,0.8930208236514967,0.8395615143913215,0.8747450158679488
bruch,broek,breeches,0.11300673362706437,0.17359925402913648,0.7346039809138226
otter,adder,adder,0.5816022111901297,0.5153398279261653,0.8933671813562
saum,zoom,seam,0.7908710752484681,0.6213313251733852,0.47567435612254766
bann,ban,ban,0.7577347375194129,0.616905914593684,0.36789326930281957
leuchten,lichten,light,0.6134733405167142,0.7053816464279081,0.4817570200086864
handeln,handelen,handle,0.829818221627452,0.2596641127169028,0.2783553416282721
knopf,knoop,knob,0.5912821989569713,0.6511132353985973,0.32357265382024986
bieten,bieden,bid,0.8495584853623911,0.6491965697696956,0.6640546225026878
donner,donder,thunder,0.8162783222275141,0.9320631912440562,0.79973206208406
klimmen,klimmen,climb,0.939049798615357,0.977615008489685,0.9254822760433591
garn,garen,yarn,0.644955487127832,0.8950065242143669,0.5953551338078209
tat,daad,deed,0.8476588027747307,0.6433115391491528,0.7279931664906798
binden,binden,bind,0.909909881526774,0.7882336780825303,0.83418673065092
schulter,schouder,shoulder,0.9690438012872304,0.9592288719928592,0.9731693878575246
ein,een,one,0.7573624088786025,0.6714059112460886,0.6769671781959161
leben,leven,live,0.9200389695943033,0.721062186276464,0.7297209472927942
gift,gift,gift,0.5185591101672953,0.197991564137517,0.7982979704198433
horn,hoorn,horn,0.8449985033244063,0.8868573808763944,0.8556971141980543
nabe,naaf,nave,0.8832552243686249,0.42828042444020376,0.668570405879114
helm,helm,helm,0.9672427406212033,0.3760176675848173,0.3215640370895947
wagen,wagen,wain,0.9210771154201373,0.4512482262495985,0.43577022371793217
beide,beide,both,0.9550205032714894,0.9697765522476915,0.9602220984286438
dieb,dief,thief,0.9588486356571833,0.9594055679013117,0.9654979354792566
waten,waden,wade,0.8570118258564728,0.8533977636686203,0.8973162847496795
wetter,weder,weather,0.3820528902415696,0.9354688157721832,0.399638973114626
laub,loof,leaf,0.7620928211283865,0.7088186665577751,0.666049750518743
milch,melk,milk,0.930869385041598,0.9287659484818058,0.9512539441543996
sturm,storm,storm,0.9466259642096175,0.9113516858197803,0.928429576685524
waffe,wapen,weapon,0.834726399819351,0.8955049791187508,0.8233793400105689
ochse,os,ox,0.8961701905401851,0.8986034643020585,0.9006987312298723
wachsen,wassen,wax,0.522335471387353,0.33054280911329686,0.5537392759486519
feld,veld,field,0.8623437301699451,0.8973481704875014,0.8504083001554639
wald,woud,wold,0.9248365736985861,0.3752916120294196,0.3372592401994204
rauch,rook,reek,0.940731281213339,0.46796116145745076,0.5111034428742912
ding,ding,thing,0.8686588616667806,0.8398248116727947,0.843943174249598
mut,moed,mood,0.9483744026690477,0.1715414211682938,0.13868868493548875
schaufel,schoffel,shovel,0.5152703144295172,0.9221919803221805,0.5363359795848444
strecken,strekken,stretch,0.8350224204627316,0.8392704206054244,0.7809652128091893
rost,roest,rust,0.8305492800831313,0.899008295573812,0.8665281602731617
trank,drank,drench,0.8426270868606754,0.26611113348376036,0.17580210861307816
galle,gal,gall,0.7898614551486993,0.7254942130149957,0.6446299745588897
geben,geven,give,0.8771393305809726,0.8561389439371418,0.8507067095289467
hag,haag,haw,0.7789806231739763,0.35290468097150113,0.2638578487247056
monat,maand,month,0.9469181589918442,0.951606921632866,0.954407224493106
teig,deeg,dough,0.8518809813008933,0.8697886504547612,0.8616434202583793
knecht,knecht,knight,0.8887697263994214,0.23371310149455615,0.1954194784041027
aal,aal,eel,0.8757684266833933,0.9364765375827303,0.898063298265327
volk,volk,folk,0.8192762861333115,0.5703395185894398,0.6146315897529834
tag,dag,day,0.8220699217942294,0.887295087604065,0.7591159317379911
lauch,look,leek,0.7649313864269208,0.9147801061338509,0.7121682777127936
gras,gras,grass,0.8737562301026431,0.8803182254839212,0.9219253671707957
brand,brand,brand,0.8942317511521404,0.21485835855990257,0.23481556058218533
heu,hooi,hay,0.9460625058421661,0.942148236564735,0.9636995374699684
boden,bodem,bottom,0.7485095135659067,0.3543117822560713,0.5523324564885109
joch,juk,yoke,0.839802182230669,0.8256471735096482,0.9225110620855212
sparen,sparen,spare,0.8860754575950354,0.6451017501606062,0.7764503854087098
leib,lijf,life,0.816641065806344,0.22255589579222,0.19619833936939976
wachs,was,wax,0.4723987248256749,0.9144960297564616,0.49301568871024276
blut,bloed,blood,0.9149860497892137,0.9360706613606343,0.908008092944493
zehn,tien,ten,0.9660020964185692,0.9689388787674305,0.9648444765513524
jugend,jeugd,youth,0.9511487095757691,0.9488245629331183,0.947512418492739
regenbogen,regenboog,rainbow,0.9546434882484712,0.9777574114232852,0.9451635111235815
kropf,krop,crop,0.5138100915529957,0.3140205504730319,0.23510512381504747
futter,voer,fodder,0.7902191425872934,0.7799440826819081,0.756275258694481
lunge,long,lung,0.9353422858972261,0.952026997263478,0.9543132993695166
dill,dille,dill,0.9717307759750143,0.9715593984106718,0.9804223095155564
winden,winden,wind,0.7185393544306427,0.6240608261113086,0.8451535226130235
lehm,leem,loam,0.723187805604059,0.8065362616552583,0.7858859341025749
knie,knie,knee,0.9088926080207904,0.9678598653491649,0.9104489105900921
vater,vader,father,0.9460836572821528,0.952888203683891,0.9442737523058451
lassen,laten,let,0.8339523428619293,0.7035714194092492,0.6516659507428995
frieren,vriezen,freeze,0.9204184749444996,0.919676375863529,0.9305575585723426
biegen,buigen,bow,0.8598907163994113,0.4853665914081524,0.5626696993423626
buch,boek,book,0.9325662048955834,0.9131924976387646,0.9348766811384573
segel,zeil,sail,0.9372279400524203,0.9467752609682194,0.9306582735001376
leine,lijn,line,0.6958531621935503,0.46784434859042057,0.7860683624318909
dach,dak,thatch,0.9175657742390718,0.5106147823814389,0.518850679289541
furche,voor,furrow,0.24044046424288143,0.8617814121692726,0.28785579405680783
zeit,tijd,tide,0.8996235065598499,0.1961002409557513,0.165044462085738
floh,vlo,flea,0.9198583547626806,0.9373809509810829,0.9408872698530506
saft,sap,sap,0.8999730245347081,0.45925210707939323,0.6429072309190106
zecke,teek,tick,0.9226064509473781,0.9222201304003782,0.9144468435155895
schwimmen,zwemmen,swim,0.925706292089448,0.9352297026423635,0.9346608646507742
malz,mout,malt,0.9212869882426632,0.9470782793060818,0.9366084766009268
kauen,kauwen,chew,0.9632018592067133,0.9575972335968121,0.9552679808897521
ringen,wringen,wring,0.28038599866011055,0.2188134959692476,0.7168135468359224
waschen,wassen,wash,0.7376155624049188,0.9141133516114605,0.7388948158639937
hagel,hagel,hail,0.9085801599784334,0.9161489205832605,0.8323533801318799
ofen,oven,oven,0.9416204285010061,0.8871603901753096,0.9155865818789658
jahr,jaar,year,0.9355439069095003,0.9523593141556532,0.94386388312883
fleisch,vlees,flesh,0.9099091125475545,0.7097667882936461,0.7976302181060424
bauer,boer,bower,0.7803013685474712,0.2054790940856158,0.13684748443392936
bein,been,bone,0.8848024500522131,0.6136997959184384,0.7494777829514876
wachen,waken,wake,0.8363038567760847,0.5201316684430785,0.7028920079267682
wunder,wonder,wonder,0.9461938144037939,0.7399880725159501,0.7293259689609298
schwester,zuster,sister,0.8991652061997123,0.9567567817161997,0.8482939682409235
schnee,sneeuw,snow,0.9451424229452355,0.9507626856738228,0.9408313125956959
lachen,lachen,laugh,0.9500843440973823,0.9591333831985969,0.9484727178799591
regen,regen,rain,0.9329303554277854,0.9326085065172279,0.9531591710569772
himmel,hemel,heaven,0.9353546428660352,0.8343477012981351,0.8571961916645227
schwein,zwijn,swine,0.8989287140728214,0.8494856701747624,0.8177775459347303
teil,deel,deal,0.8379137371818448,0.2100375851021825,0.20280184652671987
gold,goud,gold,0.9376366885758903,0.9467375725866495,0.9361728065220457
kuh,koe,cow,0.7886334101647444,0.9494754755236241,0.7932204146498791
sorge,zorg,sorrow,0.839068048820572,0.5187674578569138,0.32235186190739873
fliegen,vliegen,fly,0.9128918146515953,0.8895975206120534,0.8769363030074567
scheide,schede,sheath,0.8080056457864134,0.7654232949453931,0.8363004281729666
widder,weder,wether,0.03702628990663832,0.45181554831010007,0.19329692227097756
wurm,worm,worm,0.8971486817713336,0.8884306969938913,0.9155452572063983
wasser,water,water,0.8080166345295826,0.8922064012326983,0.8336754238935283
brauchen,gebruiken,brook,0.460485045714644,-0.003039377060077553,-0.03842570494372559
schlagen,slaan,slay,0.8392503126318486,0.4030955364692675,0.3014501108892761
locke,lok,lock,0.7066222159451012,0.5416088825595429,0.6606203610096003
beginnen,beginnen,begin,0.943830986119618,0.9487947500365003,0.9482709148759038
brot,brood,bread,0.9337592710175786,0.9420841051163362,0.9319352302317461
sechs,zes,six,0.979169090617825,0.9775404926162401,0.9808776865551021
nacken,nek,neck,0.8800768894958892,0.8120859012983799,0.9391468212839927
warze,wrat,wart,0.9617803989175772,0.9603503746911184,0.9621124535885367
bart,baard,beard,0.9483531722918208,0.9446090186695401,0.964708837553356
tal,dal,dale,0.8722983395545135,0.6696948074905754,0.7118021393983519
sitzen,zitten,sit,0.8636095970018064,0.8956298874015217,0.8398751725180229
zange,tang,tongs,0.9287674200450772,0.8511579061528536,0.8353260358275766
salz,zout,salt,0.8883427277560358,0.9304460542498836,0.8717905906722933
